datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-07-01,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,0.013376236
2025-07-02,99916.05682522139,1.2505552149377764e-17,90626.90934263536,0.9062690934263536,83.94317477861603,0.0008394317477861602,90626.90934263535,9289.147482586031,0.0010650158
2025-07-03,100364.69555537001,0.005450625569610924,148477.30988361101,0.5789900280209289,179.90945877624108,0.000960469088221671,92512.11423569544,7852.58131967458,0.0059895515
2025-07-04,98385.57618315684,-0.018805528491307653,205765.57562218,0.5708009716122114,271.61768920148376,0.0009137498989836355,96386.33645261885,1999.2397305379868,-0.007285297
2025-07-07,96543.22632266185,-0.01783060208270064,257932.96427250368,0.5302341122971894,359.69349009737056,0.0008952105004896539,93791.77483197745,2751.4514906843997,-0.0052679777
2025-07-08,97291.26359181775,0.008637713829340112,309579.19493740523,0.5349544720236731,445.5689820778368,0.0008895030262761007,95554.35715521374,1736.9064366040093,-0.002962768
2025-07-09,98175.82606955834,0.010093517416404048,367484.98244599096,0.5951797249908021,543.0175678652162,0.001001617022842068,96024.35558392492,2151.47048563343,0.0073668957
2025-07-10,100004.14130998266,0.019909258398969936,436389.75240357075,0.7018506766498732,669.3102171920667,0.0012863925304521626,83590.9252263994,16413.21608358327,0.007379651
2025-07-11,99810.899231938,-0.0006249406020333715,514295.86449573183,0.7790288589217085,800.0556469606313,0.001307400154192547,83321.34941268389,16489.549819254105,0.002546072
2025-07-14,98651.13293667698,-0.010793662581242345,567205.8257162356,0.5301020392327387,882.4967739817381,0.0008259731918608632,90576.28487746081,8074.8480592161595,-0.005980313
2025-07-15,99421.6420932574,0.008840884506940209,630518.2801893349,0.6417813215965685,984.1508901732868,0.0010304404335305436,97412.96230887792,2008.679784379472,0.00977087
2025-07-16,99256.17665312889,-0.001073129280786627,665587.2841856858,0.35273008228385755,1042.924055027632,0.0005911506148652825,97321.2741596545,1934.9024934743902,0.009063005
2025-07-17,100866.1958767721,0.016893930657120467,701825.7970906704,0.3651008342949535,1109.7317970532858,0.0006730839760141804,90914.1881004254,9952.007776346692,0.0030542612
2025-07-18,100883.46769054465,0.0010480054297177196,752764.3265700002,0.5050109111040645,1198.1683042345535,0.0008767705217049153,86952.16689932493,13931.30079121972,0.011675119
2025-07-21,101399.42689339927,0.00599338653977654,807461.2927830023,0.5421796798339893,1286.8427187224277,0.0008789786524773199,91571.96735222817,9827.45954117111,-0.0018205643
2025-07-22,99267.7468816188,-0.020077931788570966,865227.5927068287,0.5696905958310386,1382.6319539370356,0.0009446723531811549,90924.77661927031,8342.970262348485,-0.015108466
2025-07-23,101099.1836592689,0.019486216060549746,929282.7749426315,0.6452768824519751,1485.5479398661207,0.0010367515045125075,98801.14710775542,2298.0365515134863,0.014387965
2025-07-24,102261.14822462357,0.012541311496860452,990840.2253325891,0.6088817749253307,1591.4997288606548,0.0010479984621005426,96380.91309094756,5880.235133676002,0.0023611784
2025-07-25,102375.87676374265,0.002092040216913402,1048677.5754423453,0.5655847906451485,1690.7056244552282,0.0009701230361374473,93586.79756153557,8789.079202207087,-0.00040000677
2025-07-28,103394.94399209679,0.011020021987670919,1110411.242427375,0.6030098978052721,1799.8228090446253,0.0010658485967471776,87200.14823349072,16194.795758606071,0.002080083
2025-07-29,102241.57171713303,-0.010054462446421525,1183854.6609410068,0.7103192446165039,1913.614502489984,0.0011005537510040788,98584.35010279459,3657.2216143384385,-0.009031773
2025-07-30,102984.9169657314,0.008313656651613155,1244197.4116654843,0.5901978002785885,2020.2705766691379,0.0010431771772272263,92092.30038924012,10892.616576491288,0.011214852
2025-07-31,104238.99096958656,0.012791678611160404,1282638.0116583898,0.3732643684676345,2083.546532436655,0.0006144196415536509,94956.45030964984,9282.540659936732,0.0034438372
2025-08-01,104253.99099733534,0.00014390035445706843,1282638.0116583898,0.0,2083.546532436655,0.0,94971.45033739861,9282.540659936732,-0.0045933127
2025-08-04,104686.7529684598,0.005346554632579206,1359591.7624537658,0.7381372171866583,2208.1842198438667,0.0011955195788178245,101336.89981398088,3349.853154478911,-0.0023658276
2025-08-05,104032.84591353558,-0.0054190271814667495,1410181.3122053114,0.483246908677999,2294.790914892505,0.0008272937367226527,98361.64975062494,5671.196162910644,0.012047172
2025-08-06,106214.70538888336,0.02211129104708355,1477791.3624269234,0.6498913840904099,2413.231973995306,0.0011384967705414916,93849.00039331162,12365.704995571745,-0.0090120435
