,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1496.4927800198257,89837.00138640575,23
2025-07-03,1.0,0.0,0.0,553.3730994194849,19587.200315483075,4
2025-07-04,1.0,0.0,0.0,216.80637444266458,22062.810807628775,5
2025-07-07,1.0,0.0,0.0,656.6646751152437,21879.964821786234,4
2025-07-08,1.0,0.0,0.0,508.7142841074088,17003.75029954825,4
2025-07-09,1.0,0.0,0.0,364.5170478075062,11225.879611287815,4
2025-07-10,1.0,0.0,0.0,395.76490001974895,7933.249975575912,2
2025-07-11,1.0,0.0,0.0,301.8037275493167,17038.799949412023,4
2025-07-14,1.0,0.0,0.0,581.0181104226407,22355.80020541221,5
2025-07-15,1.0,0.0,0.0,425.17034112785814,23802.500177339993,5
2025-07-16,1.0,0.0,0.0,114.55860680194789,15060.20003815946,4
2025-07-17,1.0,0.0,0.0,282.02892248788305,13236.799998641345,4
2025-07-18,1.0,0.0,0.0,82.16861241836031,13583.500054548687,4
2025-07-21,1.0,0.0,0.0,301.9191154540305,14754.76991769169,3
2025-07-22,1.0,0.0,0.0,401.0,23021.799940109253,5
2025-07-23,1.0,0.0,0.0,149.88324748122977,9136.514064040624,3
2025-07-24,1.0,0.0,0.0,357.6828068216864,16919.699990319285,5
2025-07-25,1.0,0.0,0.0,36.68280682168642,8021.999987177786,2
2025-07-28,1.0,0.0,0.0,265.20298967735016,12172.220526389483,4
2025-07-29,1.0,0.0,0.0,363.0749963103458,24178.200530436632,6
2025-07-30,1.0,0.0,0.0,122.55860680194789,12012.10001724514,3
2025-07-31,1.0,0.0,0.0,338.0,13859.150016784668,4
2025-08-01,1.0,0.0,0.0,134.02892248788302,3613.6757787280117,1
2025-08-04,1.0,0.0,0.0,668.0,23522.478996276855,6
2025-08-05,1.0,0.0,0.0,186.0,13200.500007629395,3
2025-08-06,1.0,0.0,0.0,505.0922014187846,14082.092929119104,4
2025-08-07,1.0,0.0,0.0,163.192538967541,14544.64996957552,3
2025-08-08,1.0,0.0,0.0,454.0,27888.400059700012,6
2025-08-11,1.0,0.0,0.0,412.0,18867.700122833252,4
2025-08-12,1.0,0.0,0.0,323.80500176430655,20409.11668443922,4
2025-08-13,1.0,0.0,0.0,213.0,13481.999816894531,3
2025-08-14,1.0,0.0,0.0,575.8822735689848,21177.40010451158,5
2025-08-15,1.0,0.0,0.0,217.0,11223.650188446045,3
2025-08-18,1.0,0.0,0.0,200.18547366019635,15106.799844863039,4
2025-08-19,1.0,0.0,0.0,135.0,13746.400093078613,3
2025-08-20,1.0,0.0,0.0,197.07499631034577,13106.999979189784,3
2025-08-21,1.0,0.0,0.0,970.3189588475701,27952.860007388932,6
2025-08-22,1.0,0.0,0.0,78.0,14332.5,3
2025-08-25,1.0,0.0,0.0,152.0,21472.30010986328,4
2025-08-26,1.0,0.0,0.0,688.0,31280.400192260742,6
2025-08-27,1.0,0.0,0.0,182.27729411318396,17786.699666431505,4
2025-08-28,1.0,0.0,0.0,158.0,13943.19994354248,3
2025-08-29,1.0,0.0,0.0,528.0634027382561,19893.900115333185,4
2025-09-01,1.0,0.0,0.0,518.0634027382561,14170.99973142858,3
2025-09-02,1.0,0.0,0.0,391.0335039815452,23910.665704431187,5
2025-09-03,1.0,0.0,0.0,717.8763335336927,17863.40004507781,4
2025-09-04,1.0,0.0,0.0,178.73563279011304,23769.66097076455,4
2025-09-05,1.0,0.0,0.0,1348.0,21639.000091552734,4
2025-09-08,1.0,0.0,0.0,1006.0,27077.300010681152,5
2025-09-09,1.0,0.0,0.0,174.49140009227546,19741.497016854526,4
2025-09-10,1.0,0.0,0.0,79.0,10800.5,2
2025-09-11,1.0,0.0,0.0,813.7590163357734,28642.028374895715,6
2025-09-12,1.0,0.0,0.0,468.9290149685502,20198.29998024095,4
2025-09-15,1.0,0.0,0.0,413.4324073769399,18504.321787884342,4
2025-09-16,1.0,0.0,0.0,469.1312980007372,12658.65010774464,3
2025-09-17,1.0,0.0,0.0,636.0,23223.600387573242,5
2025-09-18,1.0,0.0,0.0,507.6601325532801,19195.199980963695,4
2025-09-19,1.0,0.0,0.0,707.0,13663.580219268799,3
2025-09-22,1.0,0.0,0.0,182.6601325532801,17910.799772612852,4
2025-09-23,1.0,0.0,0.0,814.0,23468.700121879578,5
2025-09-24,1.0,0.0,0.0,899.0,19219.499735832214,4
2025-09-25,1.0,0.0,0.0,387.0,13913.399879455566,3
2025-09-26,1.0,0.0,0.0,373.7958084666505,14794.649751048066,3
2025-09-30,1.0,0.0,0.0,1195.0,26921.629753112793,6
2025-10-01,1.0,0.0,0.0,81.87633353369267,14551.665378366866,3
2025-10-02,1.0,0.0,0.0,822.0,24243.899864196777,5
