datetime,instrument,weight
2025-01-03,1213,0.01901515696221819
2025-01-03,1225,0.03784533123876033
2025-01-03,1235,0.03779846049518301
2025-01-03,1301,0.00932243106057309
2025-01-03,1303,0.0189270861703645
2025-01-03,1304,0.009457538806886103
2025-01-03,1308,0.009450532841235244
2025-01-03,1309,0.009450532828627636
2025-01-03,1310,0.009483359075838197
2025-01-03,1313,0.009512382641392168
2025-01-03,1326,0.018774964582251023
2025-01-03,1446,0.03776310329618573
2025-01-03,1521,0.009383479263312414
2025-01-03,2104,0.00951708629219226
2025-01-03,2227,0.018915076556497584
2025-01-03,2233,0.03797026544180078
2025-01-03,2250,0.037594198544428914
2025-01-03,2348,0.007846254274288011
2025-01-03,2374,0.018657548463470987
2025-01-03,2380,0.01901836032463597
2025-01-03,2399,0.0188400175234733
2025-01-03,2408,0.009408499314891607
2025-01-03,2424,0.01901815899609819
2025-01-03,2438,0.01874744344726571
2025-01-03,2466,0.01871892156718013
2025-01-03,2923,0.018863034815081774
2025-01-03,3011,0.018940597763896894
2025-01-03,3019,0.008381680927713615
2025-01-03,3021,0.018995140530856193
2025-01-03,3504,0.008967147646470079
2025-01-03,3706,0.00915729938675634
2025-01-03,4571,0.03662919575167245
2025-01-03,4583,0.01761403996081812
2025-01-03,4912,0.018896015141269196
2025-01-03,4927,0.01880649073848803
2025-01-03,6426,0.018274566163928137
2025-01-03,6505,0.009241366260273769
2025-01-03,6691,0.01554282401865425
2025-01-03,6706,0.018239538600102367
2025-01-03,6805,0.03138501622405812
2025-01-03,7799,0.008046413736341455
2025-01-03,8101,0.03800629299137706
2025-01-03,8104,0.01896138264105873
2025-01-03,8476,0.009484559764963487
2025-01-03,8478,0.008066429871818308
2025-01-03,8482,0.00890709953282499
2025-01-06,1213,0.01849714465436225
2025-01-06,1225,0.04084683682454172
2025-01-06,1235,0.03720803313767981
2025-01-06,1301,0.00965550974872828
2025-01-06,1303,0.019730287932632547
2025-01-06,1304,0.010254817381723166
2025-01-06,1308,0.009805952617054425
2025-01-06,1310,0.009649886452330643
2025-01-06,1313,0.009752977248186639
2025-01-06,1326,0.0193702091747128
2025-01-06,1446,0.03755906942225952
2025-01-06,1521,0.009344264145876819
2025-01-06,1802,0.014472165181990702
2025-01-06,2049,0.011936824043205823
2025-01-06,2104,0.009571162741554413
2025-01-06,2227,0.01903972690573022
2025-01-06,2233,0.03729024107404655
2025-01-06,2250,0.037961502050367676
2025-01-06,2348,0.0075764303885487725
2025-01-06,2374,0.01878065923527061
2025-01-06,2380,0.01844032144246725
2025-01-06,2408,0.009257451008958657
2025-01-06,2438,0.018305267901709343
2025-01-06,2466,0.02027484382584045
2025-01-06,3019,0.00873065229947849
2025-01-06,3021,0.019228152439613892
2025-01-06,3029,0.028539860902869196
2025-01-06,3059,0.014245267781112556
2025-01-06,3447,0.014362662915357436
2025-01-06,3532,0.013909852377503248
2025-01-06,3593,0.014465259206932398
2025-01-06,3661,0.030532620497011668
2025-01-06,3706,0.009322560695893631
2025-01-06,4540,0.014181144119191224
2025-01-06,4571,0.03692029925469198
2025-01-06,4576,0.0288999381884635
2025-01-06,4583,0.016869395589395198
2025-01-06,4927,0.018683594831758223
2025-01-06,6426,0.01838270826432625
2025-01-06,6691,0.015526879431999034
2025-01-06,6706,0.019754950329516817
2025-01-06,6805,0.030345182930226318
2025-01-06,6906,0.028608916433554763
2025-01-06,8101,0.03606893928441165
2025-01-06,8104,0.019321295666790927
2025-01-06,8114,0.014186077105297781
2025-01-06,8476,0.009118352657050239
2025-01-06,8482,0.008829302995384007
2025-01-06,9105,0.028959130002613354
2025-01-07,1213,0.01852818884059095
2025-01-07,1225,0.039465306000289364
2025-01-07,1235,0.0357388178550678
2025-01-07,1310,0.009590639857031827
2025-01-07,1435,0.007908854333151603
2025-01-07,1446,0.037760074056748076
2025-01-07,1521,0.00929478788432685
2025-01-07,2049,0.011798152760443046
