datetime,ic
2025-01-02,0.1457071420825593
2025-01-03,-0.06169369547378141
2025-01-06,0.02038919961653363
2025-01-07,-0.1798065305296646
2025-01-08,0.004190703667304519
2025-01-09,-0.13172579153558903
2025-01-10,0.10738309552588378
2025-01-13,-0.10314390494828206
2025-01-14,0.1601275027817531
2025-01-15,-0.14951524089034982
2025-01-16,0.04328081004962868
2025-01-17,-0.08541954926176551
2025-01-20,0.035864171834600056
2025-01-21,-0.017633102072212508
2025-01-22,0.0713717575072198
2025-02-03,0.04170826926581952
2025-02-04,0.01885315476967754
2025-02-05,-0.06524616203121672
2025-02-06,-0.04732050183669755
2025-02-07,-0.04338139724346224
2025-02-10,-0.01816493330469788
2025-02-11,-0.0709753517822956
2025-02-12,-0.1261615201460608
2025-02-13,0.04158444867517553
2025-02-14,0.07983204111830215
2025-02-17,-0.10856603897780091
2025-02-18,-0.061896053663441974
2025-02-19,0.0024823160071574413
2025-02-20,0.06343384852437262
2025-02-21,-0.018258109778110123
2025-02-24,-0.010608728704221427
2025-02-25,-0.07278113531507864
2025-02-26,-0.0039697430181020775
2025-02-27,0.0735366224224448
2025-03-03,-0.0004512736531754884
2025-03-04,0.10250770504810457
2025-03-05,-0.007325956455395147
2025-03-06,-0.026032839054441613
2025-03-07,-0.015428525914468853
2025-03-10,-0.07552231259856933
2025-03-11,0.045391304541246985
2025-03-12,0.014288138891050076
2025-03-13,-0.0199337100611633
2025-03-14,0.016281701217292922
2025-03-17,0.1220162431127007
2025-03-18,-0.12328857830852126
2025-03-19,-0.024766403267183115
2025-03-20,0.06807820224247532
2025-03-21,0.02275346505149768
2025-03-24,0.03943567820783963
2025-03-25,0.05742627264008794
2025-03-26,0.09569517127157513
2025-03-27,-0.0022438909565524736
2025-03-28,0.09203117022897368
2025-03-31,-0.11251753486740669
2025-04-01,-0.0406233316441085
2025-04-02,0.0005302728512496073
2025-04-07,-0.041693555871228805
2025-04-08,-0.20730575185627342
2025-04-09,-0.018848062116515178
2025-04-10,0.3101650579377376
2025-04-11,0.4805522409725945
2025-04-14,-0.27388197238606504
2025-04-15,-0.01005299673666818
2025-04-16,-0.10960518535414855
2025-04-17,-0.43802603952047114
2025-04-18,-0.09194847546885812
2025-04-21,0.5290383548626085
2025-04-22,0.06550207501787898
2025-04-23,0.36613604431518193
2025-04-24,0.3006783373145307
2025-04-25,0.3420145071014117
2025-04-28,-0.11876722400295742
2025-04-29,0.13407460117285028
2025-04-30,-0.23462001031474092
2025-05-02,0.12671584500470906
2025-05-05,-0.026243909606403482
2025-05-06,0.27973555329659355
2025-05-07,0.016073982455908818
2025-05-08,0.24352559307520422
2025-05-09,0.10971233052919756
2025-05-12,0.018335391457333105
2025-05-13,-0.09539062117571181
2025-05-14,-0.011743737656990069
2025-05-15,-0.08735305793515054
2025-05-16,-0.034470524040644664
2025-05-19,0.15982200472217553
2025-05-20,-0.059278481629230086
2025-05-21,-0.04360412310629473
2025-05-22,-0.12054432651471984
2025-05-23,-0.060361730413520304
2025-05-26,-0.06655195057593295
2025-05-27,0.15694015861325167
2025-05-28,-0.1315201081404468
2025-05-29,0.10001108826195387
2025-06-02,0.2064212922806172
2025-06-03,0.05287064057723776
2025-06-04,-0.028320146695725974
2025-06-05,0.0346994180690108
2025-06-06,0.04716078608281816
2025-06-09,0.07630761621408551
2025-06-10,0.023650063026244273
2025-06-11,0.024691758357670242
2025-06-12,0.027436469961953248
2025-06-13,0.006837789426284566
2025-06-16,0.03318794782092975
2025-06-17,0.028769934270161508
2025-06-18,0.02867592686140107
2025-06-19,0.08487705844440083
2025-06-20,0.06034554429239964
2025-06-23,-0.014974643839587132
2025-06-24,-0.13791806253828567
2025-06-25,-0.06426427628165926
2025-06-26,0.13839452544048478
2025-06-27,-0.0842496704744531
2025-06-30,0.022522539578671636
2025-07-01,-0.17839495234247607
