level_0,level_1,risk
excess_return_without_cost,mean,-0.0018850164464814176
excess_return_without_cost,std,0.015149137667799104
excess_return_without_cost,annualized_return,-0.44863391426257737
excess_return_without_cost,information_ratio,-1.9196219620798654
excess_return_without_cost,max_drawdown,-0.46143423326201316
excess_return_with_cost,mean,-0.0031847583763355987
excess_return_with_cost,std,0.015149210569877123
excess_return_with_cost,annualized_return,-0.7579724935678726
excess_return_with_cost,information_ratio,-3.24320921155959
excess_return_with_cost,max_drawdown,-0.6510575560975422
