level_0,level_1,risk
excess_return_without_cost,mean,-0.002815695511247407
excess_return_without_cost,std,0.016265705924106772
excess_return_without_cost,annualized_return,-0.6701355316768828
excess_return_without_cost,information_ratio,-2.6705533036459284
excess_return_without_cost,max_drawdown,-0.6163462160328642
excess_return_with_cost,mean,-0.0035302767917143483
excess_return_with_cost,std,0.01623137506663683
excess_return_with_cost,annualized_return,-0.8402058764280149
excess_return_with_cost,information_ratio,-3.355381632271628
excess_return_with_cost,max_drawdown,-0.7298767336825124
