level_0,level_1,risk
excess_return_without_cost,mean,-0.0029579301634995014
excess_return_without_cost,std,0.018984980882628184
excess_return_without_cost,annualized_return,-0.7039873789128813
excess_return_without_cost,information_ratio,-2.403622332654604
excess_return_without_cost,max_drawdown,-0.7334324019430165
excess_return_with_cost,mean,-0.0035979381892217483
excess_return_with_cost,std,0.01894010536112108
excess_return_with_cost,annualized_return,-0.8563092890347761
excess_return_with_cost,information_ratio,-2.9306218686831733
excess_return_with_cost,max_drawdown,-0.8280933295703652
