level_0,level_1,risk
excess_return_without_cost,mean,-0.0030453093680027103
excess_return_without_cost,std,0.021557790716670085
excess_return_without_cost,annualized_return,-0.724783629584645
excess_return_without_cost,information_ratio,-2.1792931086538916
excess_return_without_cost,max_drawdown,-0.7341953982828192
excess_return_with_cost,mean,-0.0046574577140719
excess_return_with_cost,std,0.021511755073080802
excess_return_with_cost,annualized_return,-1.1084749359491122
excess_return_with_cost,information_ratio,-3.3401160365831513
excess_return_with_cost,max_drawdown,-0.9479252707290398
