,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1438.878828223218,89216.18240493975,29
2025-07-03,1.0,0.0,0.0,1350.4470320605003,55302.66703551242,18
2025-07-04,1.0,0.0,0.0,870.0086502630392,53327.602420012176,19
2025-07-07,1.0,0.0,0.0,799.8823173903193,55696.82766255701,18
2025-07-08,1.0,0.0,0.0,929.8592436171159,50035.40320694978,16
2025-07-09,1.0,0.0,0.0,1140.2372033311387,53683.979745070304,18
2025-07-10,1.0,0.0,0.0,1325.8317162811115,44615.980765603366,15
2025-07-11,1.0,0.0,0.0,2055.568901424947,65567.296965124,19
2025-07-14,1.0,0.0,0.0,896.3017468458572,53967.42922466561,17
2025-07-15,1.0,0.0,0.0,1341.703206505159,54594.65620945041,19
2025-07-16,1.0,0.0,0.0,838.2877494289485,45382.847908797434,16
2025-07-17,1.0,0.0,0.0,1155.2633691379447,44333.114633155885,16
2025-07-18,1.0,0.0,0.0,296.97156898619994,42224.70036248688,13
2025-07-21,1.0,0.0,0.0,755.6779367097615,46687.05660325846,20
2025-07-22,1.0,0.0,0.0,792.0667599574817,52870.55000471078,18
2025-07-23,1.0,0.0,0.0,1032.1887928408794,57946.689726802724,18
2025-07-24,1.0,0.0,0.0,871.6191494613031,53970.627816825734,15
2025-07-25,1.0,0.0,0.0,1014.6553046763099,55107.960919849575,17
2025-07-28,1.0,0.0,0.0,1127.8264559426216,52984.899900212666,17
2025-07-29,1.0,0.0,0.0,1103.3086233398344,57560.94707177379,18
2025-07-30,1.0,0.0,0.0,737.5643714000122,44093.602748985955,12
2025-07-31,1.0,0.0,0.0,599.7601527799345,40790.30012693888,15
2025-08-01,1.0,0.0,0.0,80.0,6271.09992980957,2
2025-08-04,1.0,0.0,0.0,1712.1197717501407,65947.86030580409,19
2025-08-05,1.0,0.0,0.0,1333.694446656426,53457.29981708361,17
2025-08-06,1.0,0.0,0.0,1112.3604384724283,49825.6503722519,17
2025-08-07,1.0,0.0,0.0,1212.7935190562011,64958.01141078009,19
2025-08-08,1.0,0.0,0.0,1138.1864745975427,63137.650101257634,18
2025-08-11,1.0,0.0,0.0,1898.7857490323006,68725.35570552725,19
2025-08-12,1.0,0.0,0.0,1295.357049751722,55939.31022635565,16
2025-08-13,1.0,0.0,0.0,1636.5535220200197,70163.44952053367,19
2025-08-14,1.0,0.0,0.0,1273.875660309704,62779.090442409586,17
2025-08-15,1.0,0.0,0.0,946.6966283995384,57328.450172417644,16
2025-08-18,1.0,0.0,0.0,844.1410889671331,55822.75430998073,16
2025-08-19,1.0,0.0,0.0,1310.4766095628133,62084.10006788196,17
2025-08-20,1.0,0.0,0.0,1646.4875001260339,62674.94906594996,18
2025-08-21,1.0,0.0,0.0,2665.4861903399587,76089.39076539423,22
2025-08-22,1.0,0.0,0.0,2668.842624842958,61167.64039379575,18
2025-08-25,1.0,0.0,0.0,1731.0845692619432,61735.78001014512,17
2025-08-26,1.0,0.0,0.0,2392.6358305786425,63875.000508342564,19
2025-08-27,1.0,0.0,0.0,1716.6010124327613,63379.19985873541,18
2025-08-28,1.0,0.0,0.0,1756.185474338144,66622.54994960889,17
