,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1524.808212434759,90626.90934263538,19
2025-07-03,1.0,0.0,0.0,1369.08125161129,63984.94638393495,16
2025-07-04,1.0,0.0,0.0,962.9441386969509,57141.97638922729,15
2025-07-07,1.0,0.0,0.0,880.5976985777746,52228.438661935754,12
2025-07-08,1.0,0.0,0.0,1112.655559209369,51579.213360682545,12
2025-07-09,1.0,0.0,0.0,1501.4621933542476,69878.47027485492,16
2025-07-10,1.0,0.0,0.0,2473.3374740507425,69196.86343150475,13
2025-07-11,1.0,0.0,0.0,2387.5524241156604,86761.71409599822,17
2025-07-14,1.0,0.0,0.0,981.8607491427549,64373.76965667804,15
2025-07-15,1.0,0.0,0.0,1503.2615905321313,58706.15237585672,13
2025-07-16,1.0,0.0,0.0,850.1285388855357,33423.7539970379,10
2025-07-17,1.0,0.0,0.0,533.9013107414526,36047.49334639478,8
2025-07-18,1.0,0.0,0.0,526.481456913438,51665.49614008316,11
2025-07-21,1.0,0.0,0.0,914.4840987238999,54678.334003224314,14
2025-07-22,1.0,0.0,0.0,1047.529800039498,62632.94992725975,16
2025-07-23,1.0,0.0,0.0,1302.957087461008,77764.83223387587,17
2025-07-24,1.0,0.0,0.0,964.2544032198415,68538.65045744373,14
2025-07-25,1.0,0.0,0.0,805.2807909134273,57837.0500065878,11
2025-07-28,1.0,0.0,0.0,1451.9757160700321,62662.00047338298,14
2025-07-29,1.0,0.0,0.0,1444.3757409293967,74501.4766658016,17
2025-07-30,1.0,0.0,0.0,982.197197339823,58616.6004797934,12
2025-07-31,1.0,0.0,0.0,555.9643504906334,36923.29999493803,9
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,2137.710847110153,84617.10074878449,17
2025-08-05,1.0,0.0,0.0,1559.7338796656998,59232.49968644482,15
2025-08-06,1.0,0.0,0.0,1625.2255150357682,72827.70005817764,15
2025-08-07,1.0,0.0,0.0,1105.1324325230307,78400.9999734377,17
2025-08-08,1.0,0.0,0.0,1252.3646382109505,83803.70038338957,17
2025-08-11,1.0,0.0,0.0,2639.0173728241007,93409.65947699748,16
2025-08-12,1.0,0.0,0.0,1933.5028561881952,71391.24802868866,14
2025-08-13,1.0,0.0,0.0,1405.0564329070933,79829.49948332945,17
2025-08-14,1.0,0.0,0.0,1434.611952726627,75686.59958668773,15
2025-08-15,1.0,0.0,0.0,1403.4871629326085,81744.7494775128,15
2025-08-18,1.0,0.0,0.0,1074.902726192985,69961.04087836124,13
2025-08-19,1.0,0.0,0.0,1688.416376966783,86959.40923392912,16
2025-08-20,1.0,0.0,0.0,1563.1084675254165,70117.30004850955,15
2025-08-21,1.0,0.0,0.0,3607.6418089150625,97049.47090600913,20
2025-08-22,1.0,0.0,0.0,3189.1413614404496,82010.47978533301,16
2025-08-25,1.0,0.0,0.0,1525.4815118446486,59555.85990603345,13
2025-08-26,1.0,0.0,0.0,3015.4635235327123,90369.85054252157,17
2025-08-27,1.0,0.0,0.0,2443.784144851081,77432.44978237376,16
2025-08-28,1.0,0.0,0.0,2328.2529195520146,87718.40004621129,15
2025-08-29,1.0,0.0,0.0,2023.1825695356688,88937.39079037996,16
2025-09-01,1.0,0.0,0.0,1726.6090286652852,85873.2995062767,14
2025-09-02,1.0,0.0,0.0,1151.51958610943,70454.80097053882,15
2025-09-03,1.0,0.0,0.0,2051.9266101822445,76570.81036284777,14
2025-09-04,1.0,0.0,0.0,1498.407024072815,60557.54911850374,13
2025-09-05,1.0,0.0,0.0,2947.0,77906.95028781891,16
2025-09-08,1.0,0.0,0.0,2887.9411695653735,93625.03075148363,18
2025-09-09,1.0,0.0,0.0,2977.0,91806.03005218506,15
2025-09-10,1.0,0.0,0.0,1304.4215347127486,84167.50033091847,15
2025-09-11,1.0,0.0,0.0,2007.2160015423171,91260.05042017624,15
2025-09-12,1.0,0.0,0.0,708.0793278232425,75886.10000120799,15
2025-09-15,1.0,0.0,0.0,1632.923640600745,84681.04890026213,15
2025-09-16,1.0,0.0,0.0,994.0,55959.45072555542,12
2025-09-17,1.0,0.0,0.0,1180.0,70915.00044059753,14
2025-09-18,1.0,0.0,0.0,1319.4856909318842,72685.54984615857,14
2025-09-19,1.0,0.0,0.0,2836.764455287953,85230.62172896079,16
2025-09-22,1.0,0.0,0.0,2190.47643248262,68159.71088013475,14
2025-09-23,1.0,0.0,0.0,1813.9077096180802,88952.10007873455,19
2025-09-24,1.0,0.0,0.0,1658.0,76813.89923477173,14
2025-09-25,1.0,0.0,0.0,1405.180452795769,57416.35048945804,11
2025-09-26,1.0,0.0,0.0,1873.0,70514.69995117188,14
2025-09-30,1.0,0.0,0.0,1335.0,57574.150243759155,11
2025-10-01,1.0,0.0,0.0,1062.0,64499.84955596924,13
2025-10-02,1.0,0.0,0.0,1632.0,69847.36993217468,14
2025-10-03,1.0,0.0,0.0,1401.0758797356516,58097.450245023734,13
2025-10-07,1.0,0.0,0.0,1338.2716943230582,63500.90066153452,13
2025-10-08,1.0,0.0,0.0,1522.1905790053893,91452.89983392376,17
2025-10-09,1.0,0.0,0.0,1126.0,63719.54961395264,13
2025-10-13,1.0,0.0,0.0,2175.0,64146.94033718109,13
2025-10-14,1.0,0.0,0.0,1714.0,76979.26013660431,17
2025-10-15,1.0,0.0,0.0,1949.2846448469948,63174.149826316236,15
2025-10-16,1.0,0.0,0.0,1525.3057918077236,82864.35045049677,17
2025-10-17,1.0,0.0,0.0,1302.3945126423132,75904.04991980139,15
2025-10-20,1.0,0.0,0.0,866.9315166353447,79179.80628296771,17
2025-10-21,1.0,0.0,0.0,952.0596204550754,61621.89952547828,13
2025-10-22,1.0,0.0,0.0,1146.414174756762,76332.07991561395,16
2025-10-23,1.0,0.0,0.0,1414.4000361187068,72713.6712899888,14
2025-10-27,1.0,0.0,0.0,1925.0,77248.87172317505,15
2025-10-28,1.0,0.0,0.0,2773.4657654123175,76486.11946437518,16
2025-10-29,1.0,0.0,0.0,2364.638246685375,79246.74033439445,15
2025-10-30,1.0,0.0,0.0,1404.0,73171.97757530212,15
2025-10-31,1.0,0.0,0.0,3079.2565435188544,85250.0104958739,17
2025-11-03,1.0,0.0,0.0,1593.470704226148,57275.09999532575,11
2025-11-04,1.0,0.0,0.0,842.0412267516099,74061.24984498334,15
2025-11-05,1.0,0.0,0.0,1273.0,73961.64989471436,15
2025-11-06,1.0,0.0,0.0,3307.0,89617.15037536621,16
2025-11-07,1.0,0.0,0.0,2257.149148755762,64351.1887713691,15
2025-11-10,1.0,0.0,0.0,3724.4676593397407,72419.14052261552,14
2025-11-11,1.0,0.0,0.0,986.121905704686,58682.317484306135,15
2025-11-12,1.0,0.0,0.0,1879.872578400558,73799.54979682257,16
2025-11-13,1.0,0.0,0.0,2644.2473653822713,85819.66784358697,17
2025-11-14,1.0,0.0,0.0,1761.8198114531951,68430.8610864027,15
2025-11-17,1.0,0.0,0.0,1402.6261928284493,93940.00033374982,19
2025-11-18,1.0,0.0,0.0,1127.0643387678456,58668.64351743039,16
2025-11-19,1.0,0.0,0.0,1426.9590549479917,67986.40052796018,14
2025-11-20,1.0,0.0,0.0,2020.4355872349784,69583.74981491192,16
2025-11-21,1.0,0.0,0.0,2342.441006493066,72766.96959223898,16
2025-11-24,1.0,0.0,0.0,662.8281653975557,48758.899689966325,12
2025-11-25,1.0,0.0,0.0,2303.1052822025167,43325.280222246874,11
2025-11-26,1.0,0.0,0.0,1324.0704597545337,54514.14928984256,13
2025-11-27,1.0,0.0,0.0,1935.3635493498803,50828.770064830336,14
2025-11-28,1.0,0.0,0.0,2645.4839677362816,59154.73640684283,12
2025-12-01,1.0,0.0,0.0,2497.3874330692906,49331.81988155855,10
2025-12-02,1.0,0.0,0.0,2309.0,69757.84283852577,14
2025-12-03,1.0,0.0,0.0,2753.0,53428.85988712311,11
2025-12-04,1.0,0.0,0.0,2273.185643590367,58156.790419101715,14
2025-12-05,1.0,0.0,0.0,2424.0,61165.56034374237,16
2025-12-08,1.0,0.0,0.0,1617.185643590367,68192.35004956636,15
2025-12-09,1.0,0.0,0.0,2979.4136109793776,68036.92968851958,16
2025-12-10,1.0,0.0,0.0,1172.1559406159083,52256.04976071941,13
2025-12-11,1.0,0.0,0.0,1326.4136109793776,38441.04997789473,9
2025-12-12,1.0,0.0,0.0,2465.032519886708,73222.79004781808,14
2025-12-15,1.0,0.0,0.0,1130.5811246366436,69639.1497909104,15
2025-12-16,1.0,0.0,0.0,1667.1188118978348,82113.2001524125,18
2025-12-17,1.0,0.0,0.0,2621.5114760318625,58797.9198124975,14
2025-12-18,1.0,0.0,0.0,3134.0,71962.69027233124,15
2025-12-19,1.0,0.0,0.0,3075.0,72073.15904808044,15
2025-12-22,1.0,0.0,0.0,2189.0,49369.69036364555,11
