,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1493.5012412775602,90066.96326052769,17
2025-07-03,1.0,0.0,0.0,1336.474552850809,68182.72324320716,14
2025-07-04,1.0,0.0,0.0,1550.251648713096,74235.5877718741,17
2025-07-07,1.0,0.0,0.0,1473.7026759040698,66771.4468752807,12
2025-07-08,1.0,0.0,0.0,1115.70542336261,50203.670704825054,10
2025-07-09,1.0,0.0,0.0,1641.7680923113835,65563.45188174627,14
2025-07-10,1.0,0.0,0.0,2706.597486129974,69766.57636658383,13
2025-07-11,1.0,0.0,0.0,2465.3632502756604,90321.42143810136,17
2025-07-14,1.0,0.0,0.0,907.2824624673124,60107.247898767,13
2025-07-15,1.0,0.0,0.0,1433.5621917604951,68318.24460418921,13
2025-07-16,1.0,0.0,0.0,686.6782466828892,43921.453978972306,12
2025-07-17,1.0,0.0,0.0,653.4708404724897,50603.0539081621,12
2025-07-18,1.0,0.0,0.0,722.6873069198268,67382.4499311162,12
2025-07-21,1.0,0.0,0.0,901.0349945955651,53945.17086516155,11
2025-07-22,1.0,0.0,0.0,1135.7478815802638,73103.0999408833,16
2025-07-23,1.0,0.0,0.0,1161.6206102569922,67306.574127906,15
2025-07-24,1.0,0.0,0.0,947.5620484145422,65334.10050258956,12
2025-07-25,1.0,0.0,0.0,851.4551740370354,59721.25011123041,11
2025-07-28,1.0,0.0,0.0,1438.2087196202533,63060.00056137318,13
2025-07-29,1.0,0.0,0.0,1425.0113928401206,69169.20148007166,14
2025-07-30,1.0,0.0,0.0,1090.889300426053,66828.55055297457,12
2025-07-31,1.0,0.0,0.0,576.3796236061082,42040.59996661235,9
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,2248.6512010360275,93158.65079758293,17
2025-08-05,1.0,0.0,0.0,1802.267525550883,71776.04963357645,15
2025-08-06,1.0,0.0,0.0,1711.276445755873,77689.14992397664,15
2025-08-07,1.0,0.0,0.0,1227.367475311756,87765.05016238705,17
2025-08-08,1.0,0.0,0.0,1290.3932192386353,77498.65046087562,15
2025-08-11,1.0,0.0,0.0,2768.2251581312953,97861.61945610231,16
2025-08-12,1.0,0.0,0.0,2096.465921117139,80255.39804398936,15
2025-08-13,1.0,0.0,0.0,1369.188608798006,78081.29961370997,16
2025-08-14,1.0,0.0,0.0,1520.6202503219204,81367.99944733256,15
2025-08-15,1.0,0.0,0.0,1400.7072158889503,81382.99947397916,15
2025-08-18,1.0,0.0,0.0,1091.9659088890885,71586.30451012356,13
2025-08-19,1.0,0.0,0.0,1638.9324631273385,91316.84552506506,16
2025-08-20,1.0,0.0,0.0,1431.0367356172435,69322.00009587829,13
2025-08-21,1.0,0.0,0.0,3868.7088336124198,108603.42084205779,20
2025-08-22,1.0,0.0,0.0,3178.044047049225,82621.14984420675,16
2025-08-25,1.0,0.0,0.0,1612.3910016226546,64090.40019057332,13
2025-08-26,1.0,0.0,0.0,3099.337084428755,93574.70066927561,17
2025-08-27,1.0,0.0,0.0,2464.675036629198,82844.54998941036,16
2025-08-28,1.0,0.0,0.0,2450.269780855482,93295.60005434015,15
2025-08-29,1.0,0.0,0.0,2267.4256300897277,93268.09881457564,15
2025-09-01,1.0,0.0,0.0,1410.8178970338026,80932.5995043682,13
2025-09-02,1.0,0.0,0.0,1246.9030911746906,77815.47456234803,15
2025-09-03,1.0,0.0,0.0,2471.2777894091637,85580.8609336463,16
2025-09-04,1.0,0.0,0.0,1686.3746982344728,61091.349043745766,11
2025-09-05,1.0,0.0,0.0,2594.0,88756.10023498535,16
2025-09-08,1.0,0.0,0.0,3234.9266980170864,99618.30083324871,16
2025-09-09,1.0,0.0,0.0,3243.16861241836,99038.59994027772,15
2025-09-10,1.0,0.0,0.0,1258.442227888327,80869.80035124153,15
2025-09-11,1.0,0.0,0.0,2117.0469880545916,93677.85053024818,15
2025-09-12,1.0,0.0,0.0,1006.4300578175242,91138.95025320016,15
2025-09-15,1.0,0.0,0.0,1411.274370595027,76760.74896867368,15
2025-09-16,1.0,0.0,0.0,1285.0,63188.85054016113,12
2025-09-17,1.0,0.0,0.0,1288.0,79394.80053520203,14
2025-09-18,1.0,0.0,0.0,2189.313611100524,99667.85068122027,16
2025-09-19,1.0,0.0,0.0,2999.311249310488,92664.67040743367,16
2025-09-22,1.0,0.0,0.0,2138.502610091555,71427.11075296951,14
2025-09-23,1.0,0.0,0.0,1866.2102664327124,98227.43983666056,19
2025-09-24,1.0,0.0,0.0,1684.0,77134.40927791595,14
2025-09-25,1.0,0.0,0.0,1461.1640251788926,65137.60041436222,13
2025-09-26,1.0,0.0,0.0,2153.0,77753.35030269623,15
2025-09-30,1.0,0.0,0.0,1238.0,55802.50014877319,10
2025-10-01,1.0,0.0,0.0,1116.0,74791.09956550598,15
2025-10-02,1.0,0.0,0.0,1610.0,65412.57991218567,13
2025-10-03,1.0,0.0,0.0,1379.0921396790056,68418.00039387718,12
2025-10-07,1.0,0.0,0.0,1407.4698417481543,70512.10012225027,13
