datetime,ic
2025-07-01,-0.050891651362381995
2025-07-02,0.09275881745465607
2025-07-03,-0.037862241923996405
2025-07-04,0.11216479700762855
2025-07-07,0.07677586445958094
2025-07-08,0.10187600415838871
2025-07-09,-0.03801930094438036
2025-07-10,0.008978555904428167
2025-07-11,0.064604550072879
2025-07-14,-0.07153795101350295
2025-07-15,-0.07580604057496806
2025-07-16,0.07293556328910715
2025-07-17,-0.08134709199838996
2025-07-18,0.02606426004787834
2025-07-21,-0.049088642399529925
2025-07-22,0.012053364772694098
2025-07-23,-0.02985014371222478
2025-07-24,0.06779946835381703
2025-07-25,-0.016483964445009467
2025-07-28,-0.02521519421450105
2025-07-29,0.06565056055773925
2025-07-30,-0.05642082764837753
2025-07-31,-0.12183971740317341
2025-08-01,0.05944284967379919
2025-08-04,-0.0098272640029253
2025-08-05,0.10095301039420006
2025-08-06,0.0333359173499669
2025-08-07,0.10522419417456363
2025-08-08,-0.008187902630403084
2025-08-11,0.024378583831843645
2025-08-12,0.010156868287192419
2025-08-13,0.017932343040601213
2025-08-14,0.0869400124177299
2025-08-15,-0.0007293405915116877
2025-08-18,-0.03907778680665046
2025-08-19,0.15347874992108615
2025-08-20,-0.03229903340065499
2025-08-21,0.07893924249374377
2025-08-22,0.011635427857641767
2025-08-25,0.0023961446739609116
2025-08-26,0.011908766855456502
2025-08-27,0.06522173717484991
2025-08-28,-0.1119956326073307
2025-08-29,-0.07696023498685389
2025-09-01,0.04945846795585373
2025-09-02,-0.11133371134191754
2025-09-03,0.11443252337548124
2025-09-04,0.14303460284294564
2025-09-05,-0.029183964314051476
2025-09-08,0.12074044402885153
2025-09-09,-0.011952089655311676
2025-09-10,0.03878925280055352
2025-09-11,-0.03627862277376184
2025-09-12,0.039027872725624475
2025-09-15,-0.10857755012502678
2025-09-16,-0.0751720448089787
2025-09-17,-0.004911404602413875
2025-09-18,0.18313377844097264
2025-09-19,0.061684504554643596
2025-09-22,0.06348530064959759
2025-09-23,-0.08863061429055161
2025-09-24,-0.22045616758535533
2025-09-25,0.2568334072257514
2025-09-26,0.004543368097880024
2025-09-30,0.059750881406821776
2025-10-01,0.07265139207465207
2025-10-02,0.11115141470233793
2025-10-03,-0.058319719509199064
2025-10-07,0.02636437801269552
2025-10-08,-0.04021558829658047
2025-10-09,-0.07794907743015658
2025-10-13,0.12286645588920383
2025-10-14,0.058996387096659
2025-10-15,-0.08342205037604161
2025-10-16,0.07594328001973645
2025-10-17,0.06741403107692778
2025-10-20,-0.008555484263272295
2025-10-21,-0.0026437379963887907
2025-10-22,0.12825693181888753
2025-10-23,0.013899360544261427
2025-10-27,0.04013494900604313
2025-10-28,-0.011112012836592447
2025-10-29,-0.013428627868185666
2025-10-30,0.14855257344601847
2025-10-31,-0.10203143724321664
2025-11-03,-0.007368050540122834
2025-11-04,0.0380962921114775
2025-11-05,-0.06726083668985212
2025-11-06,0.0758539559342995
2025-11-07,-0.03565944885903121
2025-11-10,-0.08434727005846918
2025-11-11,-0.059937930472257935
2025-11-12,-0.00027094546034328674
2025-11-13,0.11087247924344891
2025-11-14,0.029388156372785572
2025-11-17,0.016775255283726163
2025-11-18,0.2239741281555897
2025-11-19,-0.267809638424869
2025-11-20,0.035560299705468694
2025-11-21,0.17440066887099023
2025-11-24,-0.09396056449170515
2025-11-25,0.13431638701202467
2025-11-26,-0.06758345012569857
2025-11-27,0.02577259337315823
2025-11-28,0.08445334504008006
2025-12-01,0.028532315097216238
2025-12-02,0.026411255586174177
2025-12-03,0.08490114380411581
2025-12-04,0.06772356133807099
2025-12-05,0.06643541998771217
2025-12-08,-0.01579172820787584
2025-12-09,0.003987846960452811
2025-12-10,-0.01757352865004032
2025-12-11,-0.0438872496282688
2025-12-12,-0.034483115196500394
2025-12-15,0.08383908914699084
2025-12-16,0.027921001365426037
2025-12-17,0.06658814585376224
2025-12-18,0.046259198542457435
2025-12-19,0.051815955609214384
2025-12-22,0.036200194087563455
2025-12-23,0.08706537501703096
2025-12-24,-0.0479694554508519
2025-12-26,0.017695696848412858
2025-12-29,-0.06592916251182385
2025-12-30,-0.004140293035584153
2025-12-31,0.018773969910923404
2026-01-02,0.034439951225651515
2026-01-05,-0.04447156752182526
2026-01-06,-0.010468364764155547
2026-01-07,0.09877523541722207
2026-01-08,0.09445956606900383
2026-01-09,0.08336708820322186
2026-01-12,-0.10991545408117462
2026-01-13,0.07129116450772201
2026-01-14,-0.01681952077203627
2026-01-15,0.0163925515564124
2026-01-16,0.035038438243201006
2026-01-19,0.017027329304326377
2026-01-20,-0.018980432155919148
2026-01-21,0.0004870382712511689
2026-01-22,0.037778705709438413
2026-01-23,-0.025559921480306197
2026-01-26,-0.010138806521915341
2026-01-27,-0.04934695835891141
2026-01-28,-0.04032693098025108
2026-01-29,-0.12637682063679417
2026-01-30,0.16499152410179116
2026-02-02,0.12033747812139992
2026-02-03,-0.2180613477088396
2026-02-04,0.04132352964133624
2026-02-05,0.16425760948747684
2026-02-06,0.014557594940119259
2026-02-09,-0.0014737359210854335
2026-02-10,0.07933252806251453
2026-02-11,0.15371160682251
2026-02-23,0.15271531233665234
2026-02-24,0.005614264063083418
2026-02-25,-0.03684796387165401
2026-02-26,0.09001390955838735
2026-03-02,0.09535479670022269
2026-03-03,0.043184873354872304
2026-03-04,-0.021181530297666017
2026-03-05,-0.1805180888243905
2026-03-06,0.11388915422761163
2026-03-09,0.13710937309339077
2026-03-10,-0.01534606750918234
2026-03-11,0.07274453436364896
2026-03-12,-0.0008698205674310354
2026-03-13,-0.01177969681549294
2026-03-16,0.055297102406131685
2026-03-17,0.0027955601871586223
2026-03-18,-0.0030358756705697655
2026-03-19,-0.029890747803242045
2026-03-20,-0.06906210130766151
2026-03-23,0.11325058800198569
2026-03-24,-0.16493976196017537
2026-03-25,0.05532372626884002
2026-03-26,-0.16588469363273492
2026-03-27,-0.0877559036510583
2026-03-30,0.1655165963479999
2026-03-31,-0.055253304066069125
2026-04-01,0.06282221237121863
2026-04-02,0.1592696160271643
2026-04-07,0.028914299237223672
2026-04-08,-0.017622597610640625
2026-04-09,0.01591594866550655
2026-04-10,0.018690707897838978
