datetime,instrument,weight
2025-07-02,1616,0.12020516344874944
2025-07-02,2314,0.11684809940804004
2025-07-02,2462,0.12189989905705172
2025-07-02,3017,0.12064048877939142
2025-07-02,3040,0.11995227380386206
2025-07-02,6117,0.11024020633281152
2025-07-02,6919,0.11591378037504364
2025-07-02,8021,0.12415983924175504
2025-07-03,1616,0.11814852648498221
2025-07-03,2314,0.11613077561087048
2025-07-03,2462,0.1215150502480785
2025-07-03,3017,0.12457922364343778
2025-07-03,3040,0.119900271181655
2025-07-03,6117,0.106836423342192
2025-07-03,6919,0.11473527527532519
2025-07-03,8021,0.12796424263436698
2025-07-04,2314,0.1126231714019655
2025-07-04,2462,0.12045010503613368
2025-07-04,3017,0.1243546697455133
2025-07-04,3040,0.11387912529150741
2025-07-04,6919,0.11497896798659639
2025-07-04,7822,0.022904980897724775
2025-07-04,8021,0.1365419389903135
2025-07-04,8478,0.023143567776893203
2025-07-07,2314,0.12412812973348858
2025-07-07,3017,0.12266739047648752
2025-07-07,3040,0.10760314555288493
2025-07-07,6257,0.0007688837823935102
2025-07-07,6919,0.10823240371401291
2025-07-07,7822,0.022404635333710007
2025-07-07,8478,0.022189296685095988
2025-07-08,2314,0.12062330845367471
2025-07-08,2429,0.11319022459961588
2025-07-08,3017,0.12620410584578767
2025-07-08,3040,0.11192915653782276
2025-07-08,3535,0.10958449802908882
2025-07-08,6257,0.0007656509000273401
2025-07-08,7822,0.022043739964839434
2025-07-08,8478,0.02236985643845477
2025-07-09,2314,0.12042608624077764
2025-07-09,2429,0.1150008361913667
2025-07-09,2889,0.2403495550220402
2025-07-09,3017,0.13059215265777452
2025-07-09,3040,0.11370947624051145
2025-07-09,3535,0.11318969030470327
2025-07-09,7822,0.023426152084726592
2025-07-09,8478,0.0227900592925631
2025-07-10,2314,0.12140361321554033
2025-07-10,2889,0.24378059219105985
2025-07-10,3017,0.13500922175163113
2025-07-10,3040,0.11024167998769546
2025-07-10,3535,0.11170482896651979
2025-07-10,7822,0.02296701666410322
2025-07-10,8478,0.022219615296915483
2025-07-11,3017,0.13173413046888494
2025-07-11,3040,0.10939345835527635
2025-07-11,3535,0.12242370612384172
2025-07-11,7822,0.02292274327809969
2025-07-11,8021,0.03693448926490661
2025-07-11,8478,0.020731203968443693
2025-07-14,2424,0.04434358708217953
2025-07-14,3017,0.13245019109936235
2025-07-14,3167,0.046316692207249176
2025-07-14,3712,0.04510504816904214
2025-07-14,7822,0.022009617675982616
2025-07-14,8021,0.036559132300189714
2025-07-14,8478,0.02035118847384914
2025-07-15,2424,0.04549400308406664
2025-07-15,3017,0.13515967432985598
2025-07-15,3018,0.19384401314080568
2025-07-15,3167,0.047724001851776096
2025-07-15,3712,0.045529928294314403
2025-07-15,3715,0.20118859237590037
2025-07-15,8021,0.03625734080005402
2025-07-15,8478,0.020475701453596208
2025-07-16,2408,0.11919392569367196
2025-07-16,2424,0.04584381588482468
2025-07-16,3017,0.13540059758094591
2025-07-16,3018,0.19184640343105983
2025-07-16,3167,0.04703897029226779
2025-07-16,3715,0.20471669737237477
2025-07-16,6658,0.11772820253975273
2025-07-16,8478,0.020780522042495475
2025-07-17,2408,0.1233283445355091
2025-07-17,2424,0.04673662569201909
2025-07-17,3018,0.1906713943175508
2025-07-17,3090,0.03165600314747855
2025-07-17,3167,0.04660150748649074
2025-07-17,3715,0.20280652675639949
2025-07-17,6658,0.11852891996177287
2025-07-17,8478,0.020702073642140485
2025-07-18,2408,0.12047486513655283
2025-07-18,2424,0.04760569046099762
2025-07-18,3018,0.19138888751974972
2025-07-18,3090,0.030907608054232115
2025-07-18,3167,0.04792756017625891
2025-07-18,3532,0.040603623806729126
2025-07-18,3715,0.20209986147356737
2025-07-18,8046,0.03921278144428868
2025-07-21,2392,0.06378941514585884
2025-07-21,2424,0.04740913875720425
2025-07-21,3018,0.19101472183436294
2025-07-21,3167,0.04964717108998578
2025-07-21,3532,0.040131787612882844
2025-07-21,3715,0.2037458405438602
2025-07-21,8046,0.03858883216046029
2025-07-22,2392,0.061570798832658334
2025-07-22,2424,0.044584069455807326
2025-07-22,3167,0.05156775162504263
2025-07-22,3532,0.03881447555005561
2025-07-22,3715,0.20760384641066262
2025-07-22,6933,0.10117873447339655
2025-07-22,8046,0.03808806863548184
2025-07-22,8499,0.09369624246218493
2025-07-23,2424,0.045048308556442845
2025-07-23,3167,0.051582246060776965
2025-07-23,3715,0.2111776265755516
2025-07-23,6919,0.08056967827993451
2025-07-23,6933,0.09748916005548143
2025-07-23,7780,0.0781828679942394
2025-07-23,8046,0.03961940983297409
2025-07-23,8499,0.0949178407711003
2025-07-24,2424,0.04320415612556021
2025-07-24,3018,0.18565065272035902
2025-07-24,3167,0.05001287812445043
2025-07-24,3715,0.21845758264563042
2025-07-24,6919,0.08180294083783264
2025-07-24,6933,0.09998414171756789
2025-07-24,7780,0.07813166720079885
2025-07-24,8499,0.09352325980362852
2025-07-25,2424,0.042813608702015324
2025-07-25,3018,0.18634628458718847
2025-07-25,3167,0.050200276074661945
2025-07-25,6933,0.09874751684497084
2025-07-25,7780,0.07789984818162819
2025-07-25,8499,0.09387369088941182
2025-07-28,2424,0.04142116816355777
2025-07-28,3018,0.18676210792865092
2025-07-28,3708,0.03549077471853727
2025-07-28,4989,0.03731757897123056
2025-07-28,6933,0.09616855085023002
2025-07-28,7780,0.08192656054964989
2025-07-29,2424,0.040925574412828875
2025-07-29,3018,0.18770638296559747
2025-07-29,3708,0.03677370454486073
2025-07-29,4989,0.03462151194018451
2025-07-29,6534,0.11780008381975525
2025-07-29,6919,0.11059026246155731
2025-07-29,6928,0.12623379620433803
2025-07-29,6933,0.10088096774030647
2025-07-30,2424,0.03864489729304477
2025-07-30,3018,0.18945610249413233
2025-07-30,3708,0.03720471428461314
2025-07-30,4989,0.03483552403794887
2025-07-30,6534,0.11565650062159087
2025-07-30,6919,0.10491205905134106
2025-07-30,6928,0.13753743052451178
2025-07-30,6933,0.09950890527099236
2025-07-31,2424,0.039485560532028716
2025-07-31,3018,0.18605708806136792
2025-07-31,3708,0.03735522612649176
2025-07-31,4989,0.035962774410656435
2025-07-31,6807,0.1152924183411923
2025-07-31,6919,0.10533648126628672
2025-07-31,6933,0.09831471036556824
2025-08-01,2424,0.03956299670110852
2025-08-01,3018,0.18642196949993659
2025-08-01,3708,0.03742848444085706
2025-08-01,4989,0.03603330195141614
2025-08-01,6807,0.11551852132871471
2025-08-01,6933,0.09850751792439028
2025-08-04,2404,0.08986963802126775
2025-08-04,3044,0.08846992312443812
2025-08-04,3708,0.037236387078070844
2025-08-04,4989,0.036224324297662286
2025-08-04,6807,0.1181061579193812
