level_0,level_1,risk
excess_return_without_cost,mean,-0.0012165086319164903
excess_return_without_cost,std,0.014719785358007047
excess_return_without_cost,annualized_return,-0.2895290543961247
excess_return_without_cost,information_ratio,-1.2749765473585333
excess_return_without_cost,max_drawdown,-0.3603277761882584
excess_return_with_cost,mean,-0.0018130254706376701
excess_return_with_cost,std,0.014690154149294584
excess_return_with_cost,annualized_return,-0.4315000620117655
excess_return_with_cost,information_ratio,-1.903995996682222
excess_return_with_cost,max_drawdown,-0.44131161631469296
