variant_index,variant_slug,backtest_experiment,backtest_recorder_id,ranking_metric,ranking_value,strategy_params.topk,strategy_params.n_drop,strategy_params.strategy,strategy_params.deal_price,strategy_params.rebalance,strategy_params.limit_tplus,strategy_params.risk_degree,strategy_params.settlement_lag,summary_metrics.Strategy cumulative return,summary_metrics.Benchmark cumulative return,summary_metrics.Trading days,summary_metrics.risk.excess_return_without_cost.mean,summary_metrics.risk.excess_return_without_cost.std,summary_metrics.risk.excess_return_without_cost.annualized_return,summary_metrics.risk.excess_return_without_cost.information_ratio,summary_metrics.risk.excess_return_without_cost.max_drawdown,summary_metrics.risk.excess_return_with_cost.mean,summary_metrics.risk.excess_return_with_cost.std,summary_metrics.risk.excess_return_with_cost.annualized_return,summary_metrics.risk.excess_return_with_cost.information_ratio,summary_metrics.risk.excess_return_with_cost.max_drawdown,summary_metrics.indicator_summary.ffr,summary_metrics.indicator_summary.pa,summary_metrics.indicator_summary.pos,summary_metrics.indicator_daily_mean.ffr,summary_metrics.indicator_daily_mean.pa,summary_metrics.indicator_daily_mean.pos,summary_metrics.indicator_daily_mean.deal_amount,summary_metrics.indicator_daily_mean.value,summary_metrics.indicator_daily_mean.count
64,equal_topk15_ndrop3_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,4c93f3c1d3f74ad2abaf532888ec9a60,risk.excess_return_with_cost.annualized_return,-0.8725313840270112,15,3,equal,open,day,True,0.9,2,-0.12191462933303077,0.5931557416915894,188,-0.003135823809367025,0.012229687053770946,-0.746326066629352,-3.955713120427059,-0.6112104230989942,-0.0036660982522143328,0.012196325900664086,-0.8725313840270112,-4.6372825443409695,-0.6960413215582664,0.8375800402602691,0.0,0.0,0.8340110066291069,0.0,0.0,5451.5026455026455,207841.22431842872,5.222222222222222
63,bucket_topk15_ndrop3_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,c1031520c06a41beae306fc847dc638b,risk.excess_return_with_cost.annualized_return,-0.876263986260288,15,3,bucket,open,day,True,0.98,2,-0.11914475097072219,0.5931557416915894,188,-0.003125426189754668,0.011544257158961877,-0.743851433161611,-4.1766851007010075,-0.6206329042032092,-0.0036817814548751595,0.011499610788874333,-0.876263986260288,-4.939276547151567,-0.7030037565121942,0.8738461538461538,0.0,0.0,0.8429399032340208,0.0,0.0,5252.597883597884,220894.9170879992,5.158730158730159
62,bucket_topk15_ndrop3_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,b68e754ab8af45ce8eec914ded5953fc,risk.excess_return_with_cost.annualized_return,-0.8785405846122011,15,3,bucket,open,day,True,0.95,2,-0.12064893736717841,0.5931557416915894,188,-0.003136046264816525,0.011497423814800149,-0.746379011026333,-4.20794833626702,-0.6209260868968579,-0.003691346994168912,0.01145388374060054,-0.8785405846122011,-4.971879330490444,-0.7034079997458411,0.8738461538461538,0.0,0.0,0.8429399032340208,0.0,0.0,5272.068783068783,219947.692889181,5.158730158730159
61,bucket_topk15_ndrop3_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,8d800e44e9c849b5b8fa47b7614bca31,risk.excess_return_with_cost.annualized_return,-0.8837762992311382,15,3,bucket,open,day,True,0.9,2,-0.12428234719031928,0.5931557416915894,188,-0.003160783781055461,0.01140925619368165,-0.7522665398911997,-4.273915529491041,-0.622522105857334,-0.003713345795088816,0.01136767934723134,-0.8837762992311382,-5.039437430017768,-0.704695335230219,0.8738461538461538,0.0,0.0,0.8429399032340208,0.0,0.0,5287.269841269841,218050.74830215506,5.158730158730159
72,equal_topk15_ndrop5_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,7b0d31cec2a847248e0a4d1e080f40af,risk.excess_return_with_cost.annualized_return,-0.887790379252244,15,5,equal,open,day,True,0.98,2,-0.0984214177553503,0.5931557416915894,188,-0.00302323335258112,0.012088501449436075,-0.7195295379143065,-3.858226163372626,-0.6033420711002716,-0.003730211677530437,0.012059686006565352,-0.887790379252244,-4.771840902423202,-0.719432956211487,0.7980211414186441,0.0,0.0,0.794941460788706,0.0,0.0,6874.4973544973545,276963.13287012745,8.455026455026456
71,equal_topk15_ndrop5_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,ee37aa5ef0d64495aa24bc9a3451831f,risk.excess_return_with_cost.annualized_return,-0.8884053202024614,15,5,equal,open,day,True,0.95,2,-0.09927024313738908,0.5931557416915894,188,-0.0030300885075660454,0.01183333287297804,-0.7211610648007188,-3.9503603296086967,-0.5983899760082575,-0.0037327954630355523,0.011801189376082927,-0.8884053202024614,-4.879742356697368,-0.7139834871192108,0.7998748295585012,0.0,0.0,0.7961638218896921,0.0,0.0,6877.708994708994,272241.04782844684,8.407407407407407
67,bucket_topk15_ndrop5_risk0p9_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,80da55a9b7834fae95fce625a02d8168,risk.excess_return_with_cost.annualized_return,-0.8911905939814772,15,5,bucket,open,day,True,0.9,2,-0.09743369307292338,0.5931557416915894,188,-0.003008943875731155,0.012173188615175527,-0.716128642424015,-3.813275775444063,-0.6347448510316086,-0.00374449829403982,0.012160726109036004,-0.8911905939814772,-4.750317178710404,-0.7370926654289897,0.8265971316818774,0.0,0.0,0.8005910904306627,0.0,0.0,6830.132275132275,287044.1013347156,8.116402116402117
35,equal_topk10_ndrop2_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,aa01ef01508c4468b49fdb50b707b708,risk.excess_return_with_cost.annualized_return,-0.8963251670655544,10,2,equal,open,day,True,0.95,2,-0.1426179211106846,0.5931557416915894,188,-0.003238626105031085,0.01366904155977421,-0.7707930129973982,-3.6552006878319747,-0.6582906283165327,-0.00376607213052754,0.013609953581887164,-0.8963251670655544,-4.268944102635553,-0.7550467028810872,0.8399335868040411,0.0,0.0,0.8351774790061658,0.0,0.0,5869.915343915344,197494.36384757445,3.5343915343915344
33,bucket_topk10_ndrop2_risk0p98_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,21b57359908a4ef5b695e21749051cbc,risk.excess_return_with_cost.annualized_return,-0.9045258434334125,10,2,bucket,open,day,True,0.98,2,-0.141577966245103,0.5931557416915894,188,-0.0032335368470266363,0.0139480873578913,-0.7695817695923395,-3.5764456862638605,-0.6644304874108394,-0.003800528753921901,0.013913438399258097,-0.9045258434334125,-4.214033964415036,-0.7547881421585708,0.882262996941896,0.0,0.0,0.8342245989304813,0.0,0.0,5383.444444444444,221876.36964603784,3.4603174603174605
32,bucket_topk10_ndrop2_risk0p95_day_open_tplus,execution_grid_alpha158_adj_xgb_1m_tplus_adjpx_20260413,f7b597cc901c4f50b53ed7141593c335,risk.excess_return_with_cost.annualized_return,-0.9108868703108837,10,2,bucket,open,day,True,0.95,2,-0.14554663133776036,0.5931557416915894,188,-0.003261949995642392,0.013739464422174996,-0.7763440989628893,-3.662654673011135,-0.6637488872795585,-0.003827255757608755,0.013706146605949075,-0.9108868703108837,-4.307850178795075,-0.7541101511758638,0.882262996941896,0.0,0.0,0.8342245989304813,0.0,0.0,5352.05291005291,220441.79030131135,3.4603174603174605
