,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1784.5582437355176,94233.23853697303,9
2025-07-03,1.0,0.0,0.0,1128.9733618457622,25857.2007317416,2
2025-07-04,1.0,0.0,0.0,151.49198607217073,20143.000012393706,2
2025-07-07,1.0,0.0,0.0,255.92249314840726,22318.063437939934,2
2025-07-08,1.0,0.0,0.0,959.5732542843829,30715.900936613918,2
2025-07-09,1.0,0.0,0.0,721.2417757141027,20056.22898897947,2
2025-07-10,1.0,0.0,0.0,677.1852655157104,10392.144954163241,1
2025-07-11,1.0,0.0,0.0,642.0,20646.38410949707,2
2025-07-14,1.0,0.0,0.0,500.57325428438287,31800.500397288164,2
2025-07-15,1.0,0.0,0.0,420.35754960903694,33948.000153813264,3
2025-07-16,1.0,0.0,0.0,896.0,23351.25,2
2025-07-17,1.0,0.0,0.0,312.0,19207.199668884277,2
2025-07-18,1.0,0.0,0.0,226.0,18867.0,2
2025-07-21,1.0,0.0,0.0,286.9583291909464,9684.84361019444,1
2025-07-22,1.0,0.0,0.0,157.0,28623.5,3
2025-07-23,1.0,0.0,0.0,179.0,19139.299682617188,2
2025-07-24,1.0,0.0,0.0,162.0728064229766,20117.499823541915,2
2025-07-25,1.0,0.0,0.0,478.7958196195124,19474.100229583302,2
2025-07-28,1.0,0.0,0.0,12.146101743015919,10639.985126881946,1
2025-07-29,1.0,0.0,0.0,429.6506291998262,39288.00064217471,3
2025-07-30,1.0,0.0,0.0,252.6506291998262,24842.50059087827,2
2025-07-31,1.0,0.0,0.0,837.7230131965357,21000.601110771862,2
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,1046.0,25142.0,2
2025-08-05,1.0,0.0,0.0,14.122481933607549,13677.999570699585,1
2025-08-06,1.0,0.0,0.0,314.0,25839.700160980225,2
2025-08-07,1.0,0.0,0.0,446.0,9878.899829864502,1
2025-08-08,1.0,0.0,0.0,1557.9565578074917,42803.349883275434,4
2025-08-11,1.0,0.0,0.0,107.0,20082.5,2
2025-08-12,1.0,0.0,0.0,576.7913038753517,26248.199622374825,2
2025-08-13,1.0,0.0,0.0,349.0,28555.399337768555,2
2025-08-14,1.0,0.0,0.0,703.9565578074918,24737.651092634056,2
2025-08-15,1.0,0.0,0.0,913.0,21698.200038909912,2
2025-08-18,1.0,0.0,0.0,175.0,12862.5,1
2025-08-19,1.0,0.0,0.0,238.0,31206.0,2
2025-08-20,1.0,0.0,0.0,211.0,13229.700160980225,1
2025-08-21,1.0,0.0,0.0,1083.5752056146248,31572.30025015088,2
2025-08-22,1.0,0.0,0.0,431.0,38411.099784851074,3
2025-08-25,1.0,0.0,0.0,157.0,22286.5,2
2025-08-26,1.0,0.0,0.0,2450.791303875352,37997.39965225883,3
2025-08-27,1.0,0.0,0.0,217.0,27188.0,2
2025-08-28,1.0,0.0,0.0,250.0,28161.0,2
2025-08-29,1.0,0.0,0.0,203.0,10393.600154876709,1
2025-09-01,1.0,0.0,0.0,91.0,13968.5,1
2025-09-02,1.0,0.0,0.0,620.0,33570.14964675903,3
2025-09-03,1.0,0.0,0.0,1009.0,26202.15017223358,2
2025-09-04,1.0,0.0,0.0,153.0,29277.0,2
2025-09-05,1.0,0.0,0.0,1203.0,29017.050424575806,2
