,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1540.9180624645865,89557.51971437763,15
2025-07-03,1.0,0.0,0.0,368.62270922184354,16651.100231721724,3
2025-07-04,1.0,0.0,0.0,106.45628074680315,14403.200019707347,2
2025-07-07,1.0,0.0,0.0,177.10626191622904,15326.690650305021,2
2025-07-08,1.0,0.0,0.0,439.50297063409937,13427.750266598188,2
2025-07-09,1.0,0.0,0.0,261.9643318959753,7481.646391440238,2
2025-07-10,1.0,0.0,0.0,28.973509116044145,3331.9999689147967,1
2025-07-11,1.0,0.0,0.0,93.0,10729.799934387207,2
2025-07-14,1.0,0.0,0.0,223.14468606956535,14176.10017637122,2
2025-07-15,1.0,0.0,0.0,250.1906931248197,19824.4000850855,3
2025-07-16,1.0,0.0,0.0,607.0,15847.5,2
2025-07-17,1.0,0.0,0.0,142.0,8755.399848937988,2
2025-07-18,1.0,0.0,0.0,160.5673165010292,6970.258188342936,2
2025-07-21,1.0,0.0,0.0,198.3388451760953,6693.9360246932165,1
2025-07-22,1.0,0.0,0.0,108.0,19623.0,3
2025-07-23,1.0,0.0,0.0,341.0,12157.35022354126,2
2025-07-24,1.0,0.0,0.0,103.31684172753809,12827.999887897216,2
2025-07-25,1.0,0.0,0.0,306.11511237166155,12420.000147181978,2
2025-07-28,1.0,0.0,0.0,56.0,4250.400085449219,1
2025-07-29,1.0,0.0,0.0,220.2455070495152,19962.80034646231,3
2025-07-30,1.0,0.0,0.0,97.78624014764074,13416.999863205147,2
2025-07-31,1.0,0.0,0.0,219.0,6712.35005569458,2
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,346.7982706441235,13941.000351295434,2
2025-08-05,1.0,0.0,0.0,590.0,8614.000225067139,1
2025-08-06,1.0,0.0,0.0,168.0,13496.600090026855,2
2025-08-07,1.0,0.0,0.0,146.0,3233.89994430542,1
2025-08-08,1.0,0.0,0.0,841.1180317305411,24591.049937499818,4
2025-08-11,1.0,0.0,0.0,69.0,13039.5,2
2025-08-12,1.0,0.0,0.0,333.6701728755705,18727.999269396998,2
2025-08-13,1.0,0.0,0.0,97.0,6421.399703979492,1
2025-08-14,1.0,0.0,0.0,810.8731203431256,19330.450558937824,3
2025-08-15,1.0,0.0,0.0,495.0,11955.500030517578,2
2025-08-18,1.0,0.0,0.0,96.0,7056.0,1
2025-08-19,1.0,0.0,0.0,120.0,15745.0,2
2025-08-20,1.0,0.0,0.0,118.0,7398.6000900268555,1
2025-08-21,1.0,0.0,0.0,169.1906931248197,16877.399801963846,2
2025-08-22,1.0,0.0,0.0,214.2455070495152,22548.28426053875,3
2025-08-25,1.0,0.0,0.0,140.0,14037.200134277344,2
2025-08-26,1.0,0.0,0.0,1639.5652170538226,25649.499751613454,3
2025-08-27,1.0,0.0,0.0,125.46793381599791,15463.999892864118,2
2025-08-28,1.0,0.0,0.0,190.0,15712.19990158081,2
2025-08-29,1.0,0.0,0.0,313.0,7277.007617950439,1
2025-09-01,1.0,0.0,0.0,45.0,6907.5,1
2025-09-02,1.0,0.0,0.0,302.0,14229.69970703125,3
2025-09-03,1.0,0.0,0.0,510.0,13405.250086784363,2
2025-09-04,1.0,0.0,0.0,93.0,18038.0,2
2025-09-05,1.0,0.0,0.0,658.0,14115.650220870972,2
2025-09-08,1.0,0.0,0.0,893.0,22330.949681282043,3
2025-09-09,1.0,0.0,0.0,1306.0,16010.599757194519,2
2025-09-10,1.0,0.0,0.0,52.0,8606.0,1
2025-09-11,1.0,0.0,0.0,318.45595940669256,28262.233615343048,3
2025-09-12,1.0,0.0,0.0,149.65552709956256,14141.899972799229,2
2025-09-15,1.0,0.0,0.0,124.65552709956258,13944.399338114566,2
2025-09-16,1.0,0.0,0.0,334.0,11983.30016708374,2
2025-09-17,1.0,0.0,0.0,266.0,9842.0,2
2025-09-18,1.0,0.0,0.0,498.0,13899.300212860107,2
2025-09-19,1.0,0.0,0.0,961.0,12979.390312194824,2
