datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-01-02,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-0.008814335
2025-01-03,99914.66401850677,-1.9895196601282805e-17,89316.20632689027,0.8931620632689027,85.33598149323171,0.0008533598149323171,89316.20632689026,10598.457691616513,0.0033391714
2025-01-06,102464.29096562613,0.02566911152836056,102746.76713646318,0.13442031699256102,100.42968838358934,0.00015106598254248125,101773.2878698186,691.0030958075417,0.027911782
2025-01-07,101066.35185812984,-0.013544190412747965,108822.71478180007,0.05929819635774567,110.57292853422938,9.899292773169933e-05,100440.91478894748,625.4370691823528,0.004397869
2025-01-08,101270.07268522201,0.0020941093264725714,113692.50748451098,0.04818411482336672,118.4960914607284,7.839565573338416e-05,100972.32823419302,297.7444510289922,-0.010313988
2025-01-09,97595.15779615662,-0.036199386084746335,118356.03494124224,0.04605040100274157,127.49652056344192,8.887550748274447e-05,95728.82550307336,1866.332293083268,-0.013935745
2025-01-10,97147.38223154878,-0.004440173597688467,127667.64825091517,0.09541060765659862,141.93264226255155,0.00014791842162150938,96858.7795418041,288.60268974466885,-0.003001213
2025-01-13,96255.43714850275,-0.009119863165545175,130984.47342988873,0.0341421982021912,147.9068924659384,6.149676981668269e-05,96094.63388793504,160.80326056771412,-0.022750437
2025-01-14,97793.78503892125,0.01616655775658736,141505.04402882664,0.10929845534550724,165.6780860942694,0.00018462534849759832,97469.30342283349,324.4816160877708,0.013748884
2025-01-15,97200.47616782023,-0.005964742071503319,147502.75715978578,0.061330207523638505,175.6722532420844,0.00010219634247552026,96965.32136948724,235.15479833299423,-0.012411416
2025-01-16,98983.67803301994,0.0184469142257865,153136.9962610158,0.05796513888987846,185.51923461576317,0.00010130589645134652,98317.58111219504,666.0969208249053,0.022675514
2025-01-17,99048.1794799425,0.00084956852530706,164963.8419509628,0.11948278670753854,205.11120506918766,0.00019793132406020327,98712.04737536988,336.1321045726154,0.005341172
2025-01-20,100884.76691681685,0.018697303814966214,171289.02162388756,0.06385962575117937,220.4576722506214,0.0001549394169787992,94238.8016065009,6645.965310315956,0.0051295757
2025-01-21,100428.21397924211,-0.004433329970660608,178445.6299605103,0.07093844348695004,229.75514906993033,9.215937255398546e-05,97522.63967642434,2905.5743028177726,0.0014264584
2025-01-22,101515.44125065212,0.010911104079483046,183964.00993113252,0.05494850253697467,238.31057290402424,8.518944522763562e-05,99544.76982721724,1970.6714234348817,0.009673834
2025-02-03,101219.5972076782,-0.002747068785637931,194766.76658710363,0.10641491110005609,255.28471595800957,0.00016720749912394525,100777.87031474558,441.7268929326274,-0.035310745
2025-02-04,101600.45519750509,0.0038973943140081196,202967.75604454035,0.08102175550659689,268.91940875452684,0.00013470408075762414,101321.98403938368,278.4711581214067,0.004373312
2025-02-05,104218.72434994426,0.025886837537732042,209932.73345695573,0.06855262015190666,280.76473377279365,0.0001165873223229189,103725.05634256708,493.66800737717426,0.016127944
2025-02-06,105572.05594149484,0.013154067042508722,220500.06695894318,0.1013957287224568,298.3332294061157,0.0001685733129330082,105289.28596226353,282.76997923130784,0.0066930056
2025-02-07,107356.73353700887,0.017065080817795328,230527.85319070044,0.0949852320515041,315.2513006345018,0.0001602514138567273,106945.55555246865,411.1779845402225,0.006933689
2025-02-10,107775.34124026413,0.003985517568481182,235907.27686755298,0.05010792988590796,324.5157449857469,8.629588518591994e-05,107152.33334987421,623.0078903899193,-0.009631395
2025-02-11,108811.14654829372,0.00971692689353922,242898.928172212,0.0648724580613714,335.955548714042,0.0001061449084423892,108572.84748981816,238.29905847555756,0.005673051
2025-02-12,108871.35114774614,0.0007446190063956253,255250.7349232346,0.1135160058766633,356.77379708917795,0.00019132459344039894,108502.49392599997,368.8572217461747,-0.0040326715
2025-02-13,110816.43150776849,0.01809046124704693,267918.6403112346,0.11635664712940633,381.22639591877356,0.00022460085754251092,106181.33032090448,4635.101186864012,0.0047085285
2025-02-14,110343.95404613008,-0.0041388419836582615,278013.70571777335,0.09109718901055834,395.05215835364044,0.00012476274724563437,109850.79989215921,493.1541539708719,-0.01054728
2025-02-17,111674.42139622304,0.012223039686688359,288994.8473759219,0.0995173841020579,413.323337752641,0.00016558387414105331,111380.81749561251,293.6039006105243,0.01523459
