,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1524.808212434759,90626.90934263538,19
2025-07-03,1.0,0.0,0.0,1369.08125161129,63984.94638393496,16
2025-07-04,1.0,0.0,0.0,962.9441386969509,57141.97638922729,15
2025-07-07,1.0,0.0,0.0,880.5976985777746,52228.438661935754,12
2025-07-08,1.0,0.0,0.0,1112.655559209369,51579.213360682545,12
2025-07-09,1.0,0.0,0.0,1501.4621933542476,69878.47027485492,16
2025-07-10,1.0,0.0,0.0,2484.4681237919926,75667.70480268632,15
2025-07-11,1.0,0.0,0.0,2449.5603362853535,98528.38244000133,19
2025-07-14,1.0,0.0,0.0,1024.2014272988708,71237.09798203275,17
2025-07-15,1.0,0.0,0.0,1597.5693438469666,62214.4103490703,13
2025-07-16,1.0,0.0,0.0,907.1834838168749,35233.85399659512,10
2025-07-17,1.0,0.0,0.0,567.3752498841327,37858.486806604255,8
2025-07-18,1.0,0.0,0.0,542.481456913438,52933.74614008317,11
2025-07-21,1.0,0.0,0.0,951.5020091472467,56385.179325057274,14
2025-07-22,1.0,0.0,0.0,1101.648167343295,73182.35031415135,18
2025-07-23,1.0,0.0,0.0,1218.085621561354,70567.60169148695,17
2025-07-24,1.0,0.0,0.0,932.165127076554,67485.35048324468,14
2025-07-25,1.0,0.0,0.0,780.238494653517,56290.95000909097,11
2025-07-28,1.0,0.0,0.0,1498.8620538474734,67505.58358950922,16
2025-07-29,1.0,0.0,0.0,1427.7384452871206,73695.5773205059,17
2025-07-30,1.0,0.0,0.0,964.3358268722402,57846.05047361923,12
2025-07-31,1.0,0.0,0.0,554.1872409136586,37640.8999938334,9
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,2291.2563707362415,94817.20079641647,19
2025-08-05,1.0,0.0,0.0,1771.9625615642508,67835.54962755113,17
2025-08-06,1.0,0.0,0.0,1556.6823300406677,68691.79992231706,15
2025-08-07,1.0,0.0,0.0,1451.091188378596,87160.2899752737,19
2025-08-08,1.0,0.0,0.0,1522.3646382109505,80884.2003824359,17
2025-08-11,1.0,0.0,0.0,2812.681723497385,106272.8747863802,18
2025-08-12,1.0,0.0,0.0,2127.853940879548,82497.1301900346,16
2025-08-13,1.0,0.0,0.0,1755.654021968642,93536.54962777604,19
2025-08-14,1.0,0.0,0.0,1561.5983156254115,82098.39940421058,17
2025-08-15,1.0,0.0,0.0,1345.6311175234655,84650.299745798,17
2025-08-18,1.0,0.0,0.0,1157.1395360327267,75444.66361633944,15
2025-08-19,1.0,0.0,0.0,1740.8994001991566,90861.33642551953,17
2025-08-20,1.0,0.0,0.0,1580.0428509419264,72797.25005177702,16
2025-08-21,1.0,0.0,0.0,3651.6856966376395,104131.62102227239,22
2025-08-22,1.0,0.0,0.0,3148.0902974318033,89086.69990068603,18
2025-08-25,1.0,0.0,0.0,1438.36242065803,56646.349908408396,13
2025-08-26,1.0,0.0,0.0,3093.961604727436,93847.850404571,19
2025-08-27,1.0,0.0,0.0,2716.308222368916,86716.34991000529,18
2025-08-28,1.0,0.0,0.0,2482.269780855482,98169.65010793664,17
2025-08-29,1.0,0.0,0.0,2263.2254271622473,96432.79081502196,17
2025-09-01,1.0,0.0,0.0,1572.6090286652852,81660.09965428695,13
2025-09-02,1.0,0.0,0.0,1289.0469055741632,85393.2021424918,17
2025-09-03,1.0,0.0,0.0,2176.6800560879583,85623.31118937078,16
2025-09-04,1.0,0.0,0.0,1549.6331505137948,62299.59910013093,13
2025-09-05,1.0,0.0,0.0,3063.0,85415.25017499924,18
2025-09-08,1.0,0.0,0.0,3033.9842087172965,96869.44077685167,18
2025-09-09,1.0,0.0,0.0,3169.0,105428.39004898071,17
2025-09-10,1.0,0.0,0.0,1292.4253666464908,81192.70025154186,16
2025-09-11,1.0,0.0,0.0,2091.1595113210597,100696.1504078845,18
2025-09-12,1.0,0.0,0.0,741.204588535486,87684.49993278628,17
2025-09-15,1.0,0.0,0.0,1542.0129731096906,78142.44888542462,15
2025-09-16,1.0,0.0,0.0,1099.0,61358.300762176514,12
2025-09-17,1.0,0.0,0.0,1255.0,76653.10046958923,14
2025-09-18,1.0,0.0,0.0,1414.7379448809022,78485.29983918383,14
2025-09-19,1.0,0.0,0.0,3329.9829986170184,102732.77831128961,18
2025-09-22,1.0,0.0,0.0,2358.677214117713,73761.97750102055,16
2025-09-23,1.0,0.0,0.0,1970.7870577324397,101352.68980216321,21
2025-09-24,1.0,0.0,0.0,1696.0,72401.85937309265,14
2025-09-25,1.0,0.0,0.0,1315.1640251788926,54134.60045632389,11
2025-09-26,1.0,0.0,0.0,2107.0,75941.35011672974,16
2025-09-30,1.0,0.0,0.0,1293.0,53032.000091552734,11
2025-10-01,1.0,0.0,0.0,1022.0,61551.549573898315,13
2025-10-02,1.0,0.0,0.0,1608.0,68690.03990364075,14
2025-10-03,1.0,0.0,0.0,1515.0867196978877,66261.95027610344,13
2025-10-07,1.0,0.0,0.0,1622.4644217670364,76713.55030933619,15
2025-10-08,1.0,0.0,0.0,1336.4143511432708,87453.19968817866,17
2025-10-09,1.0,0.0,0.0,1119.0,63307.149616241455,13
2025-10-13,1.0,0.0,0.0,2177.0,64748.22034072876,13
2025-10-14,1.0,0.0,0.0,1737.0,78892.38014030457,17
2025-10-15,1.0,0.0,0.0,2033.3183753495755,70626.90024850638,17
2025-10-16,1.0,0.0,0.0,1608.639143506291,93717.90044960055,18
2025-10-17,1.0,0.0,0.0,1920.4261105335183,90407.8998217945,18
2025-10-20,1.0,0.0,0.0,1312.9631145265498,77182.45632828311,17
2025-10-21,1.0,0.0,0.0,1126.4367710960432,73124.44967301417,15
2025-10-22,1.0,0.0,0.0,1152.7859053563593,72441.72998356551,16
2025-10-23,1.0,0.0,0.0,1481.7438589813091,76629.0926911596,16
2025-10-27,1.0,0.0,0.0,1998.0,83514.19315719604,17
2025-10-28,1.0,0.0,0.0,2984.5891841720368,89108.4353624875,18
2025-10-29,1.0,0.0,0.0,2498.602295484563,77222.60036136227,15
2025-10-30,1.0,0.0,0.0,1366.0,69418.16116523743,15
2025-10-31,1.0,0.0,0.0,3098.2774858469243,90249.14701630607,19
2025-11-03,1.0,0.0,0.0,1579.330041384987,57773.74989754688,11
2025-11-04,1.0,0.0,0.0,877.9331616964104,76550.44993605904,17
2025-11-05,1.0,0.0,0.0,1277.0,76337.54985427856,15
2025-11-06,1.0,0.0,0.0,3561.0,97885.60048103333,18
2025-11-07,1.0,0.0,0.0,3710.2465703380594,76884.3376531841,17
2025-11-10,1.0,0.0,0.0,2690.550922201076,70046.58039948781,14
2025-11-11,1.0,0.0,0.0,1424.3562446218016,74247.04119952495,17
2025-11-12,1.0,0.0,0.0,2187.027373063208,86396.79953007055,18
2025-11-13,1.0,0.0,0.0,2532.2473653822713,84729.21783996299,17
2025-11-14,1.0,0.0,0.0,1878.8198114531951,75375.6610207899,17
2025-11-17,1.0,0.0,0.0,2562.6747784338204,111410.36006369947,21
2025-11-18,1.0,0.0,0.0,2131.107504331846,68239.5036995476,18
2025-11-19,1.0,0.0,0.0,1308.336522562001,72254.25061170795,16
2025-11-20,1.0,0.0,0.0,2072.610028532688,71740.79988286427,16
2025-11-21,1.0,0.0,0.0,2410.4695100883378,78669.90958222118,18
2025-11-24,1.0,0.0,0.0,649.2774858469242,48730.399766516566,12
2025-11-25,1.0,0.0,0.0,2334.1052822025167,43960.59021980547,11
2025-11-26,1.0,0.0,0.0,1344.0704597545337,55219.8492829761,13
2025-11-27,1.0,0.0,0.0,1971.3740205139152,51700.36007011979,14
2025-11-28,1.0,0.0,0.0,2680.4892033182987,59785.8860627816,12
2025-12-01,1.0,0.0,0.0,2535.3926686513078,50192.9398817679,10
2025-12-02,1.0,0.0,0.0,2348.0,70639.55276417732,14
2025-12-03,1.0,0.0,0.0,2798.0,54089.89988517761,11
2025-12-04,1.0,0.0,0.0,2305.185643590367,58943.51042556763,14
2025-12-05,1.0,0.0,0.0,2460.0,62104.94034767151,16
2025-12-08,1.0,0.0,0.0,1639.185643590367,68782.15004689607,15
2025-12-09,1.0,0.0,0.0,3033.4240821434123,69111.35968400071,16
2025-12-10,1.0,0.0,0.0,1194.163366359523,53215.49975802624,13
2025-12-11,1.0,0.0,0.0,1346.4240821434123,38911.49998016956,9
2025-12-12,1.0,0.0,0.0,2509.032519886708,74099.07005279626,14
2025-12-15,1.0,0.0,0.0,1507.5990214238323,77047.64972966966,17
2025-12-16,1.0,0.0,0.0,1534.1188118978348,81691.80024720772,18
2025-12-17,1.0,0.0,0.0,2760.5219470754364,66361.87973930094,16
2025-12-18,1.0,0.0,0.0,3180.0,66562.15031147003,13
2025-12-19,1.0,0.0,0.0,3241.0,75894.93898963928,15
2025-12-22,1.0,0.0,0.0,2269.0,50959.64038062096,11
