level_0,level_1,risk
excess_return_without_cost,mean,-0.0035838668386443894
excess_return_without_cost,std,0.018846741139011247
excess_return_without_cost,annualized_return,-0.8529603075973646
excess_return_without_cost,information_ratio,-2.9336214857982474
excess_return_without_cost,max_drawdown,-0.7862850982248013
excess_return_with_cost,mean,-0.004611437001309286
excess_return_with_cost,std,0.018789820658820424
excess_return_with_cost,annualized_return,-1.0975220063116102
excess_return_with_cost,information_ratio,-3.7861875538320793
excess_return_with_cost,max_drawdown,-0.9275659128022531
