datetime,instrument,weight
2025-07-02,1225,0.027797538976490937
2025-07-02,1319,0.028023318630096695
2025-07-02,1325,0.02781964905139345
2025-07-02,1560,0.02558128611963845
2025-07-02,1616,0.055774411017299574
2025-07-02,2314,0.055782342572307915
2025-07-02,2368,0.026166773770852792
2025-07-02,2383,0.05422512122287776
2025-07-02,2408,0.027715062552767542
2025-07-02,2462,0.05571736564624419
2025-07-02,2615,0.0276229855068096
2025-07-02,3017,0.053174245542045376
2025-07-02,3040,0.05534605429444098
2025-07-02,3535,0.02799929878669923
2025-07-02,3665,0.04965099074882056
2025-07-02,4551,0.027963268634443157
2025-07-02,5234,0.026522069818126947
2025-07-02,6117,0.055321034917783424
2025-07-02,6674,0.027848172888658592
2025-07-02,6919,0.05519092520916723
2025-07-02,8021,0.05567883216853093
2025-07-02,8045,0.0274518445354952
2025-07-02,8210,0.0247455911831836
2025-07-03,1225,0.028109091523464063
2025-07-03,1235,0.02488222736215833
2025-07-03,1516,0.0253085186261999
2025-07-03,1560,0.026345886951909297
2025-07-03,1616,0.054607843872862494
2025-07-03,2314,0.05522519683465404
2025-07-03,2383,0.05556587369440045
2025-07-03,2408,0.02827791923431593
2025-07-03,2712,0.05074377925300612
2025-07-03,3017,0.054697656412918606
2025-07-03,3018,0.05065995037405923
2025-07-03,3040,0.05510781547200788
2025-07-03,3167,0.024429823935883683
2025-07-03,3447,0.02519325498238421
2025-07-03,3515,0.02559742554464299
2025-07-03,3665,0.05146459600048256
2025-07-03,5234,0.02589681131012057
2025-07-03,6919,0.0544182306023151
2025-07-03,7799,0.04510735417613501
2025-07-03,7822,0.04760222996021328
2025-07-03,8021,0.05716266353042672
2025-07-03,8045,0.02845527530493429
2025-07-03,8210,0.024449782683966987
2025-07-04,1235,0.025344245515338735
2025-07-04,1560,0.026100941003808904
2025-07-04,2314,0.054311241427194144
2025-07-04,2383,0.05637559200697762
2025-07-04,2404,0.02654885258855583
2025-07-04,2429,0.02643891097500893
2025-07-04,2451,0.0537492077287517
2025-07-04,3017,0.055367795039842974
2025-07-04,3018,0.05237493975433346
2025-07-04,3040,0.0530773441941875
2025-07-04,3515,0.025653031716408224
2025-07-04,3535,0.053286026994304195
2025-07-04,3653,0.0151169651786467
2025-07-04,3665,0.053586056993741686
2025-07-04,4551,0.026263818210960833
2025-07-04,6854,0.026508132773621833
2025-07-04,6919,0.05530162492039194
2025-07-04,7799,0.04194067090142932
2025-07-04,7822,0.046216176187497356
2025-07-04,8021,0.06185316445653908
2025-07-04,8046,0.026935683302228636
2025-07-04,8210,0.024813200320930574
2025-07-04,8478,0.052629435115001406
2025-07-04,9958,0.026935682907822805
2025-07-07,1235,0.02493212498855844
2025-07-07,1419,0.03169867791949527
2025-07-07,1516,0.03164486011815155
2025-07-07,1560,0.02666050291214783
2025-07-07,1616,0.06311429477815886
2025-07-07,2314,0.060503909957309844
2025-07-07,2383,0.0559497987589217
2025-07-07,2429,0.02643488416195878
2025-07-07,3017,0.055204630667991195
2025-07-07,3018,0.05324856139671564
2025-07-07,3040,0.050692216466688665
2025-07-07,3044,0.030303554041991372
2025-07-07,3515,0.025289185572959116
2025-07-07,3653,0.015058631537751376
2025-07-07,3665,0.052942635876201224
2025-07-07,5234,0.031172917823523383
2025-07-07,6257,0.06276810210344916
2025-07-07,6515,0.02577044079257958
2025-07-07,6805,0.024435346185611
2025-07-07,6854,0.025646245897193654
2025-07-07,6919,0.052617237345170514
2025-07-07,7799,0.044813658085088186
2025-07-07,7822,0.045693371927405156
2025-07-07,8478,0.051002702370285986
2025-07-08,1235,0.025532280025044613
2025-07-08,1419,0.03182363880687956
2025-07-08,1516,0.03074365111199642
2025-07-08,1560,0.028552816976676613
2025-07-08,2314,0.059254221752484765
2025-07-08,2368,0.05192169649158847
2025-07-08,2383,0.0588130476703595
2025-07-08,2429,0.027332946623094975
2025-07-08,3017,0.057239350803297
2025-07-08,3018,0.05221380813524642
2025-07-08,3040,0.0531415696022806
2025-07-08,3044,0.030301370041027148
2025-07-08,3535,0.05344910919300062
2025-07-08,3665,0.05371534152885273
2025-07-08,6153,0.05381218853085744
2025-07-08,6515,0.023142594513881547
2025-07-08,6805,0.024438580607296922
2025-07-08,6854,0.0254157115750228
2025-07-08,6919,0.049129156753580094
2025-07-08,7749,0.023780301562708505
2025-07-08,7799,0.04520520128378196
2025-07-08,7822,0.0453080572593992
2025-07-08,8021,0.026742553660485342
2025-07-08,8478,0.05181883928608776
2025-07-09,1235,0.024552270446113737
2025-07-09,1319,0.026980279460339374
2025-07-09,1325,0.026798076752743327
2025-07-09,1516,0.03161036966210273
2025-07-09,2314,0.05787694929445263
