datetime,instrument,weight
2025-07-02,1225,0.033840554373400125
2025-07-02,1560,0.03197667581728995
2025-07-02,1616,0.06778154677438217
2025-07-02,2314,0.06791923135286491
2025-07-02,2383,0.0632627762900089
2025-07-02,2408,0.03365407627197765
2025-07-02,2462,0.06777754598829468
2025-07-02,3017,0.06836703287003762
2025-07-02,3040,0.06795669254777344
2025-07-02,3535,0.033922299691607906
2025-07-02,3665,0.0662014621264236
2025-07-02,4551,0.033047569745920026
2025-07-02,6117,0.0673912225641677
2025-07-02,6919,0.06730614983560772
2025-07-02,8021,0.06784409979310019
2025-07-02,8045,0.03347793055773867
2025-07-02,8210,0.02969477272301087
2025-07-03,1225,0.034098554161880006
2025-07-03,1560,0.032815709360119474
2025-07-03,1616,0.0661286330539084
2025-07-03,2314,0.06700254824658072
2025-07-03,2383,0.0645972301927043
2025-07-03,2408,0.03421584698565503
2025-07-03,2462,0.06706338170515315
2025-07-03,2712,0.06252785340035902
2025-07-03,3017,0.07007645889241226
2025-07-03,3040,0.06742435462016631
2025-07-03,3665,0.0683764051274971
2025-07-03,4551,0.03244777720490094
2025-07-03,6117,0.06482694294827353
2025-07-03,6919,0.06612862977101171
2025-07-03,7799,0.06292661190841535
2025-07-03,8021,0.06940527147743397
2025-07-03,8045,0.034578639269321615
2025-07-03,8210,0.029235815267184124
2025-07-04,1225,0.03369119439149055
2025-07-04,1560,0.03244451851128805
2025-07-04,1616,0.06404122932914541
2025-07-04,2314,0.065759722722238
2025-07-04,2383,0.0654053178507653
2025-07-04,2408,0.033351549331225555
2025-07-04,2462,0.06727454799972105
2025-07-04,2712,0.062250962567895876
2025-07-04,3017,0.07079080540226033
2025-07-04,3040,0.06480805422699926
2025-07-04,3665,0.07105026362900572
2025-07-04,4551,0.033952860681850695
2025-07-04,6117,0.06484044697281481
2025-07-04,6919,0.06706550441328805
2025-07-04,7799,0.05839001199333516
2025-07-04,8021,0.0749476671970983
2025-07-04,8210,0.029610052891904534
2025-07-04,8478,0.03806283794379794
2025-07-07,1225,0.03322029010337737
2025-07-07,1560,0.033036489051727694
2025-07-07,1616,0.06329001745602772
2025-07-07,2314,0.0730287832997005
2025-07-07,2383,0.06470842875272188
2025-07-07,2408,0.0341158205491837
2025-07-07,2462,0.06385840912166797
2025-07-07,2712,0.06309149150385916
2025-07-07,3017,0.07036156881467157
2025-07-07,3040,0.061702315163170034
2025-07-07,3665,0.06997772712719155
2025-07-07,4551,0.0349448097837434
2025-07-07,6117,0.06461609209713215
2025-07-07,6919,0.06361063418883509
2025-07-07,7799,0.062194784589148115
2025-07-07,7822,0.0724750838564405
2025-07-07,8210,0.03084089780187714
2025-07-07,8478,0.03677104951064007
2025-07-08,1225,0.03198372941334791
2025-07-08,1560,0.035258861171661965
2025-07-08,1616,0.06152519010037469
2025-07-08,2314,0.07127277902112387
2025-07-08,2383,0.06778440386272226
2025-07-08,2408,0.03351116187246361
2025-07-08,2712,0.06389170461489371
2025-07-08,3017,0.07270235438356776
2025-07-08,3040,0.0644597069880322
2025-07-08,3535,0.06280650343283638
2025-07-08,3665,0.07075324848174226
2025-07-08,4551,0.03381599354504515
2025-07-08,6117,0.06447087953145697
2025-07-08,6919,0.059188149759581726
2025-07-08,7799,0.06252097604647319
2025-07-08,7822,0.07161512094515571
2025-07-08,8210,0.032007325621061365
2025-07-08,8478,0.03723010739432813
2025-07-09,1225,0.03307818350958871
2025-07-09,1560,0.03555196017372272
2025-07-09,1616,0.0592974463414291
2025-07-09,2314,0.06972767908812938
2025-07-09,2383,0.06765982589183792
2025-07-09,2408,0.03324108490312557
2025-07-09,2712,0.06350772307905805
2025-07-09,2889,0.03293762691273994
2025-07-09,3017,0.07371981768702132
2025-07-09,3040,0.06417028022414775
2025-07-09,3535,0.06357034169342556
2025-07-09,3665,0.07472853403814311
2025-07-09,4551,0.03243106459016389
2025-07-09,6117,0.06448943983583805
2025-07-09,6919,0.057569937401061186
2025-07-09,7799,0.06080193388673479
2025-07-09,7822,0.07457831890691856
2025-07-09,8478,0.03716796023658474
