,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1784.5582437355176,94233.23853697303,9
2025-07-03,1.0,0.0,0.0,1095.5549394625564,53490.26087398016,5
2025-07-04,1.0,0.0,0.0,1180.3140008241612,75645.89998547424,7
2025-07-07,1.0,0.0,0.0,1731.439719294272,65067.51421855715,6
2025-07-08,1.0,0.0,0.0,1703.1358645071177,61799.80384614096,6
2025-07-09,1.0,0.0,0.0,2091.4625093341238,62659.10943833807,6
2025-07-10,1.0,0.0,0.0,1881.677630301484,43161.758941392145,4
2025-07-11,1.0,0.0,0.0,1507.0878411886272,67330.58430038433,6
2025-07-14,1.0,0.0,0.0,2014.074437722941,52304.5005545667,5
2025-07-15,1.0,0.0,0.0,835.745492082627,53852.60040210397,5
2025-07-16,1.0,0.0,0.0,771.0,43735.701110839844,4
2025-07-17,1.0,0.0,0.0,795.9229437259338,43186.19973338229,4
2025-07-18,1.0,0.0,0.0,409.15479021684735,54488.99996412189,5
2025-07-21,1.0,0.0,0.0,750.0284175156297,67852.6507382226,6
2025-07-22,1.0,0.0,0.0,1210.2955706126636,62335.299463363684,6
2025-07-23,1.0,0.0,0.0,1190.0284175156298,65707.60064776149,6
2025-07-24,1.0,0.0,0.0,772.2435081283982,76024.89967702155,7
2025-07-25,1.0,0.0,0.0,297.5390787410618,42779.99977964081,4
2025-07-28,1.0,0.0,0.0,801.2191221704809,43919.69988188634,4
2025-07-29,1.0,0.0,0.0,1427.5592638847506,84879.61891609483,8
2025-07-30,1.0,0.0,0.0,871.6860055563855,55630.80083153869,5
2025-07-31,1.0,0.0,0.0,1994.9398619277356,53976.69990181493,5
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,1726.8271212840723,85890.15097029408,8
2025-08-05,1.0,0.0,0.0,647.8271212840723,53827.49981761514,5
2025-08-06,1.0,0.0,0.0,1688.956519366212,64821.300274675305,6
2025-08-07,1.0,0.0,0.0,852.8157206866081,54411.29924572388,5
2025-08-08,1.0,0.0,0.0,1328.5421139336577,86384.70053081389,8
2025-08-11,1.0,0.0,0.0,2123.0,68426.00023460388,6
2025-08-12,1.0,0.0,0.0,1633.1565189295952,47735.54850659853,4
2025-08-13,1.0,0.0,0.0,1630.199999563383,58670.40038334846,5
2025-08-14,1.0,0.0,0.0,1559.7021057106588,77431.94984601287,7
2025-08-15,1.0,0.0,0.0,1486.0458957455173,57210.299720335686,5
2025-08-18,1.0,0.0,0.0,510.9409175033552,57015.6005219777,5
2025-08-19,1.0,0.0,0.0,945.0,55931.600286483765,5
2025-08-20,1.0,0.0,0.0,1445.297451999022,53123.65019882029,5
2025-08-21,1.0,0.0,0.0,3343.5800622010916,96317.51029376581,9
2025-08-22,1.0,0.0,0.0,2984.0067799786666,65773.59974646487,6
2025-08-25,1.0,0.0,0.0,753.0,55408.20016479492,5
2025-08-26,1.0,0.0,0.0,3618.5237855636315,90633.15092058181,8
2025-08-27,1.0,0.0,0.0,2303.1736936414063,64917.549410575404,6
2025-08-28,1.0,0.0,0.0,516.0,55938.799865722656,5
2025-08-29,1.0,0.0,0.0,1295.8906781863802,69781.89922539583,6
2025-09-01,1.0,0.0,0.0,1346.2407701086054,55060.999365194824,5
2025-09-02,1.0,0.0,0.0,940.6489663572904,66411.43491671047,6
