datetime,changed_instruments
2025-07-01,0
2025-07-02,46
2025-07-03,57
2025-07-04,60
2025-07-07,59
2025-07-08,58
2025-07-09,60
2025-07-10,56
2025-07-11,55
2025-07-14,58
2025-07-15,58
2025-07-16,58
2025-07-17,58
2025-07-18,57
2025-07-21,56
2025-07-22,58
2025-07-23,58
2025-07-24,60
2025-07-25,59
2025-07-28,58
2025-07-29,59
2025-07-30,57
2025-07-31,57
2025-08-01,49
2025-08-04,60
2025-08-05,59
2025-08-06,58
2025-08-07,59
2025-08-08,58
2025-08-11,60
2025-08-12,58
2025-08-13,59
2025-08-14,57
2025-08-15,56
2025-08-18,54
2025-08-19,53
2025-08-20,54
2025-08-21,59
2025-08-22,59
2025-08-25,57
2025-08-26,58
2025-08-27,58
2025-08-28,57
2025-08-29,57
2025-09-01,56
2025-09-02,57
2025-09-03,57
2025-09-04,55
2025-09-05,57
2025-09-08,60
2025-09-09,59
2025-09-10,57
2025-09-11,56
2025-09-12,59
2025-09-15,58
2025-09-16,56
2025-09-17,57
2025-09-18,58
2025-09-19,58
2025-09-22,57
2025-09-23,59
2025-09-24,60
2025-09-25,59
2025-09-26,58
2025-09-30,59
2025-10-01,59
2025-10-02,59
2025-10-03,59
2025-10-07,58
2025-10-08,57
2025-10-09,55
2025-10-13,53
2025-10-14,57
2025-10-15,58
2025-10-16,58
2025-10-17,58
2025-10-20,57
2025-10-21,55
2025-10-22,58
2025-10-23,58
2025-10-27,59
2025-10-28,59
2025-10-29,58
2025-10-30,58
2025-10-31,60
2025-11-03,57
2025-11-04,56
2025-11-05,58
2025-11-06,58
2025-11-07,58
2025-11-10,56
2025-11-11,55
2025-11-12,57
2025-11-13,58
2025-11-14,57
2025-11-17,58
2025-11-18,58
2025-11-19,60
2025-11-20,60
2025-11-21,58
2025-11-24,59
2025-11-25,58
2025-11-26,58
2025-11-27,58
2025-11-28,58
2025-12-01,57
2025-12-02,59
2025-12-03,58
2025-12-04,58
2025-12-05,59
2025-12-08,57
2025-12-09,57
2025-12-10,57
2025-12-11,58
2025-12-12,57
2025-12-15,56
2025-12-16,59
2025-12-17,58
2025-12-18,58
2025-12-19,59
2025-12-22,56
2025-12-23,58
2025-12-24,58
2025-12-26,58
2025-12-29,56
2025-12-30,57
2025-12-31,57
2026-01-02,57
2026-01-05,57
2026-01-06,58
2026-01-07,54
2026-01-08,58
2026-01-09,58
2026-01-12,58
2026-01-13,55
2026-01-14,52
2026-01-15,56
2026-01-16,56
2026-01-19,55
2026-01-20,54
2026-01-21,57
2026-01-22,58
2026-01-23,59
2026-01-26,56
2026-01-27,56
2026-01-28,59
2026-01-29,58
2026-01-30,59
2026-02-02,58
2026-02-03,59
2026-02-04,59
2026-02-05,56
2026-02-06,59
2026-02-09,57
2026-02-10,57
2026-02-11,58
2026-02-23,57
2026-02-24,54
2026-02-25,53
2026-02-26,53
2026-03-02,51
2026-03-03,54
2026-03-04,55
2026-03-05,57
2026-03-06,59
2026-03-09,52
2026-03-10,58
2026-03-11,56
2026-03-12,54
2026-03-13,54
2026-03-16,56
2026-03-17,53
2026-03-18,54
2026-03-19,53
2026-03-20,56
2026-03-23,55
2026-03-24,57
2026-03-25,55
2026-03-26,54
2026-03-27,56
2026-03-30,56
2026-03-31,56
2026-04-01,60
2026-04-02,58
2026-04-07,59
2026-04-08,55
2026-04-09,55
2026-04-10,57
2026-04-13,55
2026-04-14,50
