level_0,level_1,risk
excess_return_without_cost,mean,-0.0031274647138504817
excess_return_without_cost,std,0.016592036439333574
excess_return_without_cost,annualized_return,-0.7443366018964146
excess_return_without_cost,information_ratio,-2.907911627903826
excess_return_without_cost,max_drawdown,-0.6338383302095372
excess_return_with_cost,mean,-0.003914527739293747
excess_return_with_cost,std,0.016553328907901545
excess_return_with_cost,annualized_return,-0.9316576019519118
excess_return_with_cost,information_ratio,-3.6482325097318804
excess_return_with_cost,max_drawdown,-0.7604165059002574
