,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1994.201591432937,94354.02039001432,8
2025-07-03,1.0,0.0,0.0,1246.5564037402137,50514.80124165004,4
2025-07-04,1.0,0.0,0.0,1005.1057605797308,48904.30061317765,4
2025-07-07,1.0,0.0,0.0,1295.5840317517109,47321.9030971869,4
2025-07-08,1.0,0.0,0.0,582.0166007018697,47586.712176798785,4
2025-07-09,1.0,0.0,0.0,1709.8911623442646,47705.74712163311,4
2025-07-10,1.0,0.0,0.0,1585.468858187859,23463.73933628489,2
2025-07-11,1.0,0.0,0.0,981.5942978803085,53567.30097192272,4
2025-07-14,1.0,0.0,0.0,928.2831495213719,62438.600234026555,5
2025-07-15,1.0,0.0,0.0,1573.9098209268468,62220.20046523234,5
2025-07-16,1.0,0.0,0.0,1076.0,46627.451822280884,4
2025-07-17,1.0,0.0,0.0,925.8608318252409,50308.14969145987,4
2025-07-18,1.0,0.0,0.0,323.4496339638192,51481.50071340964,4
2025-07-21,1.0,0.0,0.0,649.0,36161.750385284424,3
2025-07-22,1.0,0.0,0.0,1223.0,58374.8995141983,5
2025-07-23,1.0,0.0,0.0,257.0,36398.89956665039,3
2025-07-24,1.0,0.0,0.0,1332.5849115392414,63439.899959809365,5
2025-07-25,1.0,0.0,0.0,313.58491153924143,25912.99932584841,2
2025-07-28,1.0,0.0,0.0,563.0,25013.5,2
2025-07-29,1.0,0.0,0.0,1487.178512480906,74393.20761346794,6
2025-07-30,1.0,0.0,0.0,447.7038342334248,39306.90088094465,3
2025-07-31,1.0,0.0,0.0,1819.0,49417.09984779358,4
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,682.0,61812.500343322754,5
2025-08-05,1.0,0.0,0.0,141.0,37107.0,3
2025-08-06,1.0,0.0,0.0,1108.608692888115,50746.30016975299,4
2025-08-07,1.0,0.0,0.0,595.3938940022117,37009.899757139734,3
2025-08-08,1.0,0.0,0.0,1306.3938940022117,73412.69997304957,6
2025-08-11,1.0,0.0,0.0,1318.0,54615.100061416626,4
2025-08-12,1.0,0.0,0.0,1671.2695647765559,48507.748562571585,4
2025-08-13,1.0,0.0,0.0,1600.2695647765559,48274.10039604726,4
2025-08-14,1.0,0.0,0.0,1394.6260837062782,53160.700049355444,4
2025-08-15,1.0,0.0,0.0,1521.4375454249405,51055.19965871232,4
2025-08-18,1.0,0.0,0.0,531.0,38316.59980010986,3
2025-08-19,1.0,0.0,0.0,1091.0,42276.40034675598,3
2025-08-20,1.0,0.0,0.0,476.4201546067773,38491.00031612575,3
2025-08-21,1.0,0.0,0.0,3447.2176608437007,72399.93981012786,6
2025-08-22,1.0,0.0,0.0,3013.2176608437007,37812.59950885562,3
2025-08-25,1.0,0.0,0.0,337.0,48838.5,4
2025-08-26,1.0,0.0,0.0,2987.8979326234207,74621.6502157671,6
2025-08-27,1.0,0.0,0.0,1118.6431605526027,49281.39927454649,4
2025-08-28,1.0,0.0,0.0,431.0,37984.39984512329,3
2025-08-29,1.0,0.0,0.0,782.8632451855605,52348.79955532259,4
2025-09-01,1.0,0.0,0.0,1385.1180172563786,38247.899288285735,3
2025-09-02,1.0,0.0,0.0,1266.7515434199145,58976.39631348968,5
2025-09-03,1.0,0.0,0.0,1400.2149851797842,54601.97012647655,4
2025-09-04,1.0,0.0,0.0,770.4634417598699,49237.34977921552,4
2025-09-05,1.0,0.0,0.0,3290.0,50743.90019273758,4
2025-09-08,1.0,0.0,0.0,2372.0,65300.0000333786,5
2025-09-09,1.0,0.0,0.0,1130.0,52413.249826431274,4
2025-09-10,1.0,0.0,0.0,194.0,26422.0,2
2025-09-11,1.0,0.0,0.0,1921.951938931003,78685.35038485384,6
2025-09-12,1.0,0.0,0.0,829.6596984954589,49984.650314666585,4
2025-09-15,1.0,0.0,0.0,391.07886252572933,50229.39840238303,4
2025-09-16,1.0,0.0,0.0,1403.0,35107.04995536804,3
2025-09-17,1.0,0.0,0.0,407.0,57727.20036315918,5
2025-09-18,1.0,0.0,0.0,1347.9255175094017,50620.29995236047,4
2025-09-19,1.0,0.0,0.0,2090.9255175094017,36066.1803373978,3
2025-09-22,1.0,0.0,0.0,295.0,46865.0,4
2025-09-23,1.0,0.0,0.0,2063.0,59461.87030887604,5
2025-09-24,1.0,0.0,0.0,2300.0,49577.37931728363,4
2025-09-25,1.0,0.0,0.0,1265.0,35098.949838638306,3
2025-09-26,1.0,0.0,0.0,2430.916223018382,34904.87937498043,3
2025-09-30,1.0,0.0,0.0,1873.0,73347.0993347168,6
2025-10-01,1.0,0.0,0.0,1045.0,36883.799545288086,3
2025-10-02,1.0,0.0,0.0,1383.0,57982.79977416992,5
2025-10-03,1.0,0.0,0.0,1663.1517594713034,46263.850425960554,4
2025-10-07,1.0,0.0,0.0,1393.575933162743,54507.85091654994,4
2025-10-08,1.0,0.0,0.0,576.4397356230874,50971.84944093816,4
2025-10-09,1.0,0.0,0.0,190.0,36719.0,3
2025-10-13,1.0,0.0,0.0,1013.628266007423,49300.60057904707,4
2025-10-14,1.0,0.0,0.0,415.0,23200.300247192383,2
2025-10-15,1.0,0.0,0.0,1142.0,46148.70072364807,4
2025-10-16,1.0,0.0,0.0,1599.5327749007329,60620.50076476314,5
2025-10-17,1.0,0.0,0.0,1028.0,46781.100025177,4
2025-10-20,1.0,0.0,0.0,648.0,37503.050537109375,3
2025-10-21,1.0,0.0,0.0,974.0,35702.19924163818,3
2025-10-22,1.0,0.0,0.0,828.1192409101508,70904.65101209242,6
2025-10-23,1.0,0.0,0.0,963.0,47983.45000267029,4
2025-10-27,1.0,0.0,0.0,1251.0,49986.20056152344,4
2025-10-28,1.0,0.0,0.0,3136.0,46562.4699754715,4
2025-10-29,1.0,0.0,0.0,2696.115178969714,46123.66989433329,4
2025-10-30,1.0,0.0,0.0,239.0,34207.5,3
2025-10-31,1.0,0.0,0.0,1993.0,61246.80040740967,5
2025-11-03,1.0,0.0,0.0,1277.0,46814.900104522705,4
2025-11-04,1.0,0.0,0.0,424.1151789697142,44854.8998277095,4
2025-11-05,1.0,0.0,0.0,899.1192409101508,52321.80094000091,4
2025-11-06,1.0,0.0,0.0,751.0,47447.801124572754,4
2025-11-07,1.0,0.0,0.0,2250.0,44626.356353759766,4
2025-11-10,1.0,0.0,0.0,1601.0,30452.959548950195,3
2025-11-11,1.0,0.0,0.0,239.0,19311.39981842041,2
2025-11-12,1.0,0.0,0.0,4444.0,65509.89907979965,6
2025-11-13,1.0,0.0,0.0,1659.0,53354.250885009766,5
2025-11-14,1.0,0.0,0.0,230.0,21792.399490356445,2
2025-11-17,1.0,0.0,0.0,1354.10840082741,63469.450590702254,6
2025-11-18,1.0,0.0,0.0,1081.0,42265.32911300659,4
2025-11-19,1.0,0.0,0.0,1528.0,43214.5,4
2025-11-20,1.0,0.0,0.0,4036.1084008274097,40856.25039791349,4
2025-11-21,1.0,0.0,0.0,846.1246595657135,42927.59915194151,4
2025-11-24,1.0,0.0,0.0,335.0,41389.10043334961,4
2025-11-25,1.0,0.0,0.0,469.0,31158.300636291504,3
2025-11-26,1.0,0.0,0.0,908.1246595657135,53065.39891288147,5
2025-11-27,1.0,0.0,0.0,1123.0,44013.8000125885,4
2025-11-28,1.0,0.0,0.0,1295.0,44998.300468444824,4
2025-12-01,1.0,0.0,0.0,2675.0,46379.17962360382,4
2025-12-02,1.0,0.0,0.0,365.0,33165.0998916626,3
2025-12-03,1.0,0.0,0.0,474.0,32355.0,3
2025-12-04,1.0,0.0,0.0,2015.0,36324.799785614014,3
2025-12-05,1.0,0.0,0.0,785.3638614371193,59749.30040653729,5
2025-12-08,1.0,0.0,0.0,1049.3638614371193,47433.99912174725,4
2025-12-09,1.0,0.0,0.0,1292.895284524982,49023.09990967155,4
2025-12-10,1.0,0.0,0.0,1107.0,35368.450328826904,3
2025-12-11,1.0,0.0,0.0,1226.895284524982,47030.1504121271,4
2025-12-12,1.0,0.0,0.0,1359.0,60724.84018325806,5
2025-12-15,1.0,0.0,0.0,704.0,34654.650327682495,3
2025-12-16,1.0,0.0,0.0,618.0,46380.299713134766,4
2025-12-17,1.0,0.0,0.0,2851.0,53190.75012779236,5
2025-12-18,1.0,0.0,0.0,2585.0,50388.75033378601,4
2025-12-19,1.0,0.0,0.0,1149.0,34650.399406433105,3
2025-12-22,1.0,0.0,0.0,2243.0,44216.599950790405,4
2025-12-23,1.0,0.0,0.0,1591.0,44776.19985961914,4
2025-12-24,1.0,0.0,0.0,2107.0,59184.80080604553,5
2025-12-26,1.0,0.0,0.0,714.0,47546.139961242676,4
2025-12-29,1.0,0.0,0.0,474.0,23381.200271606445,2
2025-12-30,1.0,0.0,0.0,1226.0,45885.750140190125,4
2025-12-31,1.0,0.0,0.0,692.0,53185.79914855957,5
2026-01-02,1.0,0.0,0.0,1320.0,49995.15036582947,4
2026-01-05,1.0,0.0,0.0,971.0,49909.399658203125,4
2026-01-06,1.0,0.0,0.0,1013.0,45624.60023880005,4
2026-01-07,1.0,0.0,0.0,1282.0,34662.19958114624,3
2026-01-08,1.0,0.0,0.0,1132.0,48053.70012664795,4
2026-01-09,1.0,0.0,0.0,4263.0,69797.25983428955,6
2026-01-12,1.0,0.0,0.0,3228.5637105515925,45866.37909200821,4
2026-01-13,1.0,0.0,0.0,339.6395902872442,32877.69911868148,3
2026-01-14,1.0,0.0,0.0,247.0,22791.4002532959,2
2026-01-15,1.0,0.0,0.0,1227.0,53602.65043640137,5
2026-01-16,1.0,0.0,0.0,209.0,11620.399681091309,1
2026-01-19,1.0,0.0,0.0,1400.0,41299.24998378754,4
2026-01-20,1.0,0.0,0.0,1205.502615873674,32951.25002876002,3
2026-01-21,1.0,0.0,0.0,1051.0758797356516,51888.34857263606,5
2026-01-22,1.0,0.0,0.0,1426.0,59957.54933166504,5
2026-01-23,1.0,0.0,0.0,2709.0,32905.20014810562,3
2026-01-26,1.0,0.0,0.0,2227.0,44785.899497509,4
2026-01-27,1.0,0.0,0.0,1243.0,33712.40020751953,3
2026-01-28,1.0,0.0,0.0,2786.502615873674,60465.37102255896,5
2026-01-29,1.0,0.0,0.0,1521.0,44931.29945755005,4
2026-01-30,1.0,0.0,0.0,3415.0,52031.079652786255,5
2026-02-02,1.0,0.0,0.0,2476.0,42210.859968185425,4
2026-02-03,1.0,0.0,0.0,2449.0,45590.46948623657,4
2026-02-04,1.0,0.0,0.0,913.0,41616.449880599976,4
2026-02-05,,,,0.0,0.0,0
2026-02-06,1.0,0.0,0.0,1986.0,41304.19952201843,4
2026-02-09,1.0,0.0,0.0,918.0,33413.49975204468,3
2026-02-10,1.0,0.0,0.0,923.0,38151.300230026245,4
2026-02-11,1.0,0.0,0.0,94.0,28512.5,3
2026-02-23,1.0,0.0,0.0,727.0,55432.0,6
2026-02-24,1.0,0.0,0.0,64.0,19363.0,2
2026-02-25,1.0,0.0,0.0,710.0,39899.199630737305,4
2026-02-26,1.0,0.0,0.0,737.0,29611.999866485596,3
2026-03-02,1.0,0.0,0.0,349.0,19909.39973449707,2
2026-03-03,1.0,0.0,0.0,1339.0,76050.44966506958,7
2026-03-04,1.0,0.0,0.0,1560.0,39786.40037727356,4
2026-03-05,1.0,0.0,0.0,2220.0,43083.73007917404,4
2026-03-06,1.0,0.0,0.0,1682.0,53917.49948692322,5
2026-03-09,1.0,0.0,0.0,3216.0,21213.939641952515,2
2026-03-10,1.0,0.0,0.0,985.0,30529.6997756958,3
2026-03-11,1.0,0.0,0.0,1739.0,10434.0,1
2026-03-12,1.0,0.0,0.0,729.0,35818.70008087158,4
2026-03-13,1.0,0.0,0.0,1817.0,46547.19995880127,5
2026-03-16,1.0,0.0,0.0,1251.0,19432.349767684937,2
2026-03-17,1.0,0.0,0.0,1800.0,41059.69994354248,4
2026-03-18,1.0,0.0,0.0,1551.0,39686.5,4
2026-03-19,1.0,0.0,0.0,575.0,24543.800369262695,3
2026-03-20,1.0,0.0,0.0,1783.0,55518.64959716797,6
2026-03-23,1.0,0.0,0.0,1174.0,28678.199842453003,3
2026-03-24,1.0,0.0,0.0,1222.0,34985.899684906006,4
2026-03-25,1.0,0.0,0.0,475.0,32779.500162124634,4
2026-03-26,1.0,0.0,0.0,570.0,26625.199487686157,3
2026-03-27,1.0,0.0,0.0,963.0,41306.499777793884,5
2026-03-30,1.0,0.0,0.0,377.0,32225.0,4
2026-03-31,1.0,0.0,0.0,978.0,32725.649536132812,4
2026-04-01,1.0,0.0,0.0,1536.0,32847.200013160706,4
2026-04-02,1.0,0.0,0.0,536.0,26273.299976348877,3
2026-04-07,1.0,0.0,0.0,428.02117984060646,42570.0001002606,5
2026-04-08,1.0,0.0,0.0,352.0,27822.0,3
2026-04-09,1.0,0.0,0.0,117.02117984060648,34840.724536713,4
2026-04-10,1.0,0.0,0.0,1399.0,34289.19986629486,4
2026-04-13,1.0,0.0,0.0,783.0,34981.699630737305,4
2026-04-14,1.0,0.0,0.0,114.0,18837.0,2
