,ffr,pa,pos,deal_amount,value,count
2025-07-01,,,,0.0,0.0,0
2025-07-02,1.0,0.0,0.0,1591.8583661877183,93713.90398881958,12
2025-07-03,1.0,0.0,0.0,1734.8320470118254,80515.99520193467,11
2025-07-04,1.0,0.0,0.0,1672.2068157883593,86182.11950674864,11
2025-07-07,1.0,0.0,0.0,1669.7644227168184,84506.84474559552,10
2025-07-08,1.0,0.0,0.0,1465.7165587198226,62614.86881477818,8
2025-07-09,1.0,0.0,0.0,2296.250575392608,91154.31478347923,12
2025-07-10,1.0,0.0,0.0,3547.800942271277,82034.2155698067,10
2025-07-11,1.0,0.0,0.0,2662.23170981459,96736.64195007225,12
2025-07-14,1.0,0.0,0.0,623.6507428411817,65878.03599387735,9
2025-07-15,1.0,0.0,0.0,1120.187688368459,73500.60765321841,9
2025-07-16,1.0,0.0,0.0,298.7949488176322,27716.833525241425,4
2025-07-17,1.0,0.0,0.0,1353.2854899445163,71434.52122150583,9
2025-07-18,1.0,0.0,0.0,804.2615959698502,76077.93302796296,10
2025-07-21,1.0,0.0,0.0,951.4496530436727,82784.70086015362,10
2025-07-22,1.0,0.0,0.0,1376.1653266709204,80758.69986169277,12
2025-07-23,1.0,0.0,0.0,1518.4466612417998,85527.36583019866,11
2025-07-24,1.0,0.0,0.0,750.2367885273177,63927.40007213527,8
2025-07-25,1.0,0.0,0.0,1082.2367885273175,78719.55029441585,10
2025-07-28,1.0,0.0,0.0,1222.8726906947807,81650.45034902416,10
2025-07-29,1.0,0.0,0.0,1230.144106271743,94852.58497115162,12
2025-07-30,1.0,0.0,0.0,1291.8426961518562,79971.30045963607,10
2025-07-31,1.0,0.0,0.0,475.51518785435786,25074.800117698658,3
2025-08-01,,,,0.0,0.0,0
2025-08-04,1.0,0.0,0.0,2739.3433454163846,103593.05101061799,13
2025-08-05,1.0,0.0,0.0,2319.5631704884163,86066.6995733312,11
2025-08-06,1.0,0.0,0.0,2293.5962711350658,95367.45024540299,11
2025-08-07,1.0,0.0,0.0,1503.5434002694517,105719.14934137993,13
2025-08-08,1.0,0.0,0.0,1214.1723582602276,71587.19945540832,9
2025-08-11,1.0,0.0,0.0,3425.163858253809,111028.3491736449,12
2025-08-12,1.0,0.0,0.0,2756.5126478021048,96248.14888969029,11
2025-08-13,1.0,0.0,0.0,1961.5424525683197,105598.19973131234,12
2025-08-14,1.0,0.0,0.0,1885.7141301256104,88215.94904552965,11
2025-08-15,1.0,0.0,0.0,1628.498574622869,98381.94973959462,11
2025-08-18,1.0,0.0,0.0,1193.9002853890006,79263.14608633734,9
2025-08-19,1.0,0.0,0.0,1945.6092088108512,96916.45442225225,11
2025-08-20,1.0,0.0,0.0,1053.4383922877369,55670.7497620465,7
