datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-01-02,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,-0.008814335
2025-01-03,99920.29074626768,-1.2306600183364934e-16,82918.08613550721,0.8291808613550721,79.70925373230645,0.0007970925373230645,82918.08613550724,17002.204610760433,0.0033391714
2025-01-06,101366.99746635,0.015058989510043766,122944.64564708176,0.4005848983487837,137.70114383855255,0.0005803815188399286,96559.62511240353,4807.372353946468,0.027911782
2025-01-07,100185.18285591729,-0.01119507192864788,151093.9584073541,0.27769701642407674,184.70492644441384,0.00046369907149972317,97070.56670970524,3114.6161462120544,0.004397869
2025-01-08,100454.7042245807,0.003228024488625605,183546.3010552314,0.32392357555057893,238.5837814373402,0.0005377926501408196,99325.88394636892,1128.8202782117723,-0.010313988
2025-01-09,97380.76750525179,-0.03010582558967849,211388.34216623023,0.2771601521891301,288.24869571828236,0.000494401080211328,93243.1712939576,4137.596211294194,-0.013935745
2025-01-10,96993.70067005907,-0.00334953871178576,248370.0070509837,0.3797635388605766,349.1348803687488,0.0006252382909919333,94632.01381143568,2361.6868586233927,-0.003001213
2025-01-13,95470.93997886364,-0.015008861602354488,288645.12536087335,0.41523437121852347,416.13054190706976,0.000690721779615548,94233.45077075304,1237.4892081105909,-0.022750437
2025-01-14,97513.62496167028,0.021964671617296115,320303.1625218941,0.33159867461270964,470.43340473074926,0.0005687894435280688,94682.33457302552,2831.2903886447675,0.013748884
2025-01-15,96946.97959269736,-0.005076885848958557,362985.6903056348,0.4377083489668029,542.0132310551177,0.0007340494864436054,94252.24062935595,2694.738963341417,-0.012411416
2025-01-16,99290.59287675151,0.024786698255896942,398519.3093376463,0.3665263134684404,601.3954769857513,0.0006125229087086141,97455.53512960456,1835.0577471469658,0.022675514
2025-01-17,98556.12434430102,-0.0068559874266836225,430559.751543644,0.3226936336835979,655.1289530852777,0.000541173887099508,97524.24317196968,1031.8811723313406,0.005341172
2025-01-20,100826.90738159668,0.023567837317822155,461083.5272059542,0.3097095778206219,707.100621011149,0.0005273306785513484,99592.72252584234,1234.184855754343,0.0051295757
2025-01-21,100000.3216378248,-0.007601045089427237,494291.18795295333,0.329353161863024,767.2964955480091,0.0005970219269846151,93008.3720376061,6991.949600218705,0.0014264584
2025-01-22,101066.31032092139,0.011200823529011705,526848.5515158058,0.32557258846393267,821.3937679611113,0.000540970984163715,95347.11393150101,5719.196389420377,0.009673834
2025-02-03,99683.68656169299,-0.013233191679643453,554693.4277569173,0.27551096060293667,866.5876703584325,0.00044717079562729255,97334.8080772562,2348.8784844367888,-0.035310745
2025-02-04,99702.87352508587,0.0007100333583246745,585464.7114310638,0.30868926236092353,918.1794497051284,0.0005175548891318975,97606.20320732814,2096.670317757726,0.004373312
2025-02-05,102315.70165368007,0.027007516612505188,631841.7185438004,0.4651521613473641,998.0783341541965,0.000801369926704921,98007.85684115802,4307.844812522049,0.016127944
2025-02-06,103425.02516715038,0.011413737631082499,662617.2187844211,0.30078961237826557,1056.5593948991009,0.0005715746439666916,90752.16176579785,12672.863401352532,0.0066930056
2025-02-07,105253.3087062439,0.018556484739060252,720761.4736549202,0.5621874858287855,1147.4807569567279,0.0008791040844387943,101735.22026395258,3518.0884422913205,0.006933689
2025-02-10,105710.71939683217,0.004928133869121754,758142.0994178562,0.35514917509399346,1208.7724618408306,0.0005823256830354326,104077.34806078332,1633.371336048848,-0.009631395
2025-02-11,106572.94128085041,0.008800520456470041,798002.5161152536,0.3770707164309759,1276.8599263425697,0.0006440923388870576,103312.40272566759,3260.538555182818,0.005673051
2025-02-12,105800.20465869547,-0.0066727680969696735,833849.1862454554,0.336358082073906,1338.4600259184342,0.0005780088157042651,100926.73618796981,4873.468470725657,-0.0040326715
2025-02-13,108113.9987816373,0.02254361137050237,877359.5161139626,0.41124995938210795,1409.7845997218433,0.000674144005992214,106309.62488078346,1804.3739008538328,0.0047085285
2025-02-14,106813.62948143508,-0.011287020634568991,924244.7417036718,0.4336647068656236,1489.8689647899555,0.0007407400148972587,103098.66571450038,3714.9637669347067,-0.01054728
2025-02-17,108469.9898834798,0.01614260995266489,964542.1063071821,0.3772680022123423,1557.7593210925202,0.0006355963806506965,104367.0512916071,4102.9385918726875,0.01523459
2025-02-18,109941.37067181578,0.014084817671767703,998232.6209634286,0.3105975642888638,1614.1585631238363,0.0005199524964637787,106634.14658161692,3307.2240901988494,0.00684011
2025-02-19,110884.90011478488,0.009470586973282152,1055195.751258024,0.5181227953272941,1711.8384330640208,0.000888472367983906,104748.12551603423,6136.774598750644,-0.002620995
2025-02-20,109818.25473863757,-0.008852843050083836,1106347.3181113093,0.46130326852740694,1796.8371918709167,0.0007665494464882742,104758.55240659148,5059.702332046087,-0.004940629
2025-02-21,110531.19173682695,0.007010112019334186,1139260.1442841883,0.2997026883300048,1853.73846116716,0.0005181403531832274,103901.9728013487,6629.218935478243,0.010336995
2025-02-24,111753.7746254814,0.011760077454435415,1187090.3748233402,0.4327306146579417,1931.010948468849,0.0006991011866195516,109305.35870223537,2448.4159232460206,-0.006950617
2025-02-25,110178.75096648125,-0.013416496021539624,1230908.633494689,0.3920964532804024,2006.690534814186,0.0006771993751348527,105052.68365899539,5126.067307485859,-0.011864483
2025-02-26,109985.36755665355,-0.0011184918268991215,1274275.0660788522,0.3936006916375034,2076.8399121879233,0.0006366869905348464,108320.9232871632,1664.4442694903596,0.0050172806
2025-02-27,107771.1941344106,-0.019735263800909855,1299470.0542035613,0.22907581876044694,2120.4230914602845,0.000396263432496249,106851.20224023682,919.9918941737881,-0.014928758
2025-03-03,105372.95822817214,-0.021781732532890622,1329185.2858277464,0.2757251774265832,2171.215672312786,0.0004713001582700638,104210.56716181966,1162.3910663524737,-0.012880206
2025-03-04,106075.68201429343,0.007173106299943198,1358979.4444883952,0.28274957030373277,2224.3433167016465,0.0005041867029472511,102054.30904996238,4021.3729643310467,-0.0070033073
2025-03-05,107252.51669570844,0.011802491116156997,1403571.6007372926,0.4203805754733553,2299.4659299006257,0.0007081982578142337,103063.65268699256,4188.864008715888,0.012170672
2025-03-06,106343.83322000776,-0.0077850773990850225,1448633.9457878198,0.4201518662576088,2373.180261878564,0.000687296990774371,104732.17175717432,1611.6614628334346,-0.0068411827
2025-03-07,104634.91515128287,-0.015508456850161778,1483361.840482565,0.3265623745469006,2432.869581830161,0.0005612861427339166,101342.53008860108,3292.385062681793,-0.006134987
2025-03-10,103642.23611756277,-0.008803077412537759,1526200.9394283283,0.40941495373533515,2504.4393574191927,0.0006839951605595007,101629.89149930078,2012.344618262002,-0.0051789284
2025-03-11,101398.68285080398,-0.02123241578276727,1550914.890106847,0.2384544332919002,2547.4175742741586,0.0004146785949910918,97378.76542474802,4019.917426055948,-0.017278492
2025-03-12,101256.63569311328,-0.0007374289834355974,1591207.6013198094,0.3973691775883154,2614.690404348482,0.000663448756758579,98333.70221422055,2922.9334788927254,0.00939095
2025-03-13,100706.88146269695,-0.00465247638237692,1638703.2323772293,0.46906191117556667,2693.3505286436503,0.0007768392042331918,99135.17779454043,1571.7036681565273,-0.0142146945
2025-03-14,101720.89671016684,0.010630246835422573,1671967.8097637775,0.3303108675733334,2749.8742891478764,0.0005612700908146308,100272.8936964059,1448.0030137609406,0.0002901554
2025-03-17,102075.99602319406,0.004175913401089714,1712956.680796968,0.40295428332666033,2819.5526318634993,0.0006849953644643661,99403.34115716707,2672.6548660269855,0.006854534
